abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
53855710437,,The Trustee for Macarthur General Practice Trust,,Fixed Trust,Airds,Wollongong,Sydney - Outer South West,NSW,2560,8511,General Practice Medical Services,medical,ACT,26,35,90,80,45,90,65,75,80
87264565634,,The Trustee for Leppington OH Medical Trust,OPTIMAL HEALTH MEDICAL CENTRE LEPPINGTON,Fixed Unit Trust,Lakemba,Canterbury-Bankstown,Sydney - Inner South West,NSW,2195,8511,General Practice Medical Services,medical,ACT,3,35,90,80,45,90,65,75,80
21688793151,688793151,AXIENT AI PTY LTD,CARA AI,Australian Private Company,Lewisham,Inner West,Sydney - Inner West,NSW,2049,8511,General Practice Medical Services,medical,ACT,0,35,90,80,45,90,65,75,80
90080914736,080914736,GY HOLDINGS PTY LTD,CITY WEST FAMILY MEDICAL CENTRE,Australian Private Company,Auburn,Cumberland,Sydney - Parramatta,NSW,2144,8511,General Practice Medical Services,medical,ACT,26,35,90,80,45,90,65,75,80
70111926295,111926295,ANIMAL DOCTORS PORT MACQUARIE PTY LTD,,Australian Private Company,Blackmans Point,Port Macquarie-Hastings,Mid North Coast,NSW,2444,8511,General Practice Medical Services,medical,NON,16,30,85,75,40,85,60,70,75
69129515506,,ANGELO D'AMICO,IMAGES BY ANGELO,Individual/Sole Trader,Whitebridge,Lake Macquarie,Sydney - Sutherland,NSW,2290,8511,General Practice Medical Services,medical,NON,0,30,85,75,35,80,60,65,75
19226217871,,The Trustee for Roubaei Family Trust,Rylstone & Kandos Medical Centre,Discretionary Services Management Trust,Figtree,Wollongong,Illawarra,NSW,2525,8511,General Practice Medical Services,medical,ACT,21,35,90,80,45,90,65,75,80
55693196495,693196495,CHARLEMONT RISE DOCTORS PTY LTD,,Australian Private Company,Bankstown,Canterbury-Bankstown,Sydney - Inner South West,NSW,2200,8511,General Practice Medical Services,medical,ACT,0,35,90,80,45,90,65,75,80
18238665989,,TERENCE ANTHONY SULLIVAN,DOCTOR R1 Mobile Service and Repairs,Individual/Sole Trader,St Clair,Penrith,Sydney - Sutherland,NSW,2759,8511,General Practice Medical Services,medical,NON,12,30,85,75,35,80,60,65,75
45655931963,655931963,JIMKENZELLA PTY LTD,Cakora Aesthetics,Australian Private Company,Ashby,Clarence Valley,Coffs Harbour - Grafton,NSW,2463,8511,General Practice Medical Services,medical,ACT,4,35,90,80,45,90,65,75,80
