abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
34671905918,671905918,SYDNEY TOP PAINTING GROUP PTY LTD,,Australian Private Company,Guildford,Fairfield,Sydney - Parramatta,NSW,2161,3432,Painting & Decorating,painting,ACT,2,55,60,85,50,75,80,75,65
67634041768,634041768,ASRA PAINTING AND DECORATING PTY LTD,,Australian Private Company,Guildford,Fairfield,Sydney - Parramatta,NSW,2161,3432,Painting & Decorating,painting,ACT,6,55,60,85,50,75,80,75,65
20116613935,116613935,J & P GALANOPOULOS PAINTING & DECORATING SERVICES PTY LIMITED,,Australian Private Company,Blakehurst,Georges River,Sydney - Inner South West,NSW,2221,3432,Painting & Decorating,painting,ACT,20,55,60,85,50,75,80,75,65
87529658956,,BINAEI-DARIA & MEHROLMOLUK,D AND M PRECISION PAINTING AND DECORATING,Family Partnership,East Killara,Ku-ring-gai,Sydney - North Sydney and Hornsby,NSW,2071,3432,Painting & Decorating,painting,ACT,26,55,60,85,50,75,80,75,65
28679101430,679101430,JINBO PAINTING PTY LTD,,Australian Private Company,Ashfield,Inner West,Sydney - Inner West,NSW,2131,3432,Painting & Decorating,painting,ACT,1,55,60,85,50,75,80,75,65
29497875042,,KYE HERB MCGINN,MCGINN PAINTING & DECORATING,Individual/Sole Trader,Yerriyong,Unincorp. Other Territories,Other Territories,NSW,2540,3432,Painting & Decorating,painting,ACT,2,55,60,85,45,70,80,70,65
91310758747,,SEYED ALI AHMADI FAR,Jim's Painting (Lane Cove),Individual/Sole Trader,Westmead,Parramatta,Sydney - Sutherland,NSW,2145,3432,Painting & Decorating,painting,CAN,8,55,60,85,45,70,80,70,65
44685722954,685722954,AR BROTHERS PAINTING GROUP PTY LTD,AR BROTHERS PAINTING,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,3432,Painting & Decorating,painting,ACT,1,55,60,85,50,75,80,75,65
70469761184,,NADER ALI BAKHSHI,NADER ALIBAKHSHI,Individual/Sole Trader,Stanhope Gardens,Blacktown,Sydney - Sutherland,NSW,2768,3432,Painting & Decorating,painting,ACT,26,55,60,85,45,70,80,70,65
33636813404,636813404,FINEST TECHNIQUES PAINTING AND DECORATING PTY LTD,V.I.Pee Portaloos & Showers,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,3432,Painting & Decorating,painting,CAN,6,55,60,85,50,75,80,75,65
