abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
62830612195,,AMY MARIE LE BROCQ,CastlePro Pest Control,Individual/Sole Trader,San Remo,Central Coast (NSW),Sydney - Sutherland,NSW,2262,7320,Pest Control Services,pest_control,CAN,1,60,95,90,40,70,80,75,85
71982752112,,AMIT DEV SHRESTHA,RIGHT CHOICE PEST CONTROL,Individual/Sole Trader,Macquarie Fields,Campbelltown (NSW),Sydney - Sutherland,NSW,2564,7320,Pest Control Services,pest_control,CAN,4,60,95,90,40,70,80,75,85
71613206518,613206518,DEBROMIC PTY LTD,Pearson Pest,Australian Private Company,Appleby,Liverpool Plains,New England and North West,NSW,2340,7320,Pest Control Services,pest_control,ACT,9,60,95,90,45,75,80,80,85
40610833031,610833031,MHF PASTORAL COMPANY PTY LTD,MHF Termite Barriers,Australian Private Company,Bannaby,Wingecarribee,Sydney - Outer West and Blue Mountains,NSW,2580,7320,Pest Control Services,pest_control,ACT,10,60,95,90,45,75,80,80,85
63081548861,081548861,EXPERT JUDGEMENT PEST MANAGEMENT PTY LTD,EXPERT JUDGEMENT PEST MGT PL,Australian Private Company,Burwood Heights,Strathfield,Sydney - Inner West,NSW,2136,7320,Pest Control Services,pest_control,ACT,26,60,95,90,45,75,80,80,85
44877252331,,The trustee for The Gladman Family Trust,Somerset Pest Control,Discretionary Trading Trust,Aberglasslyn,Dungog,Hunter Valley exc Newcastle,NSW,2320,7320,Pest Control Services,pest_control,ACT,19,60,95,90,45,75,80,80,85
14752790512,,C.D THOMPSON & P THOMPSON,ANTS PANTS PEST CONTROL,Family Partnership,Annangrove,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,2156,7320,Pest Control Services,pest_control,ACT,21,60,95,90,45,75,80,80,85
30467487296,,SHERIF ELBOTATY,Ratted Out Pest Control,Individual/Sole Trader,Woodcroft,Blacktown,Sydney - Sutherland,NSW,2767,7320,Pest Control Services,pest_control,CAN,10,60,95,90,40,70,80,75,85
11914746105,,ANISH TANDUKAR,Anish Pest Control Service,Individual/Sole Trader,Yallah,Wollongong,Sydney - Sutherland,NSW,2530,7320,Pest Control Services,pest_control,NON,5,60,95,90,40,70,80,75,85
63187331314,,ELIE BOU-NEHME,EL-B PEST CONTROL,Individual/Sole Trader,Rossmore,Liverpool,Sydney - Sutherland,NSW,2557,7320,Pest Control Services,pest_control,ACT,3,60,95,90,40,70,80,75,85
