abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
11684984923,684984923,JEFERSON SERVICES PTY LTD,J.A. Rendering And Services,Australian Private Company,Padstow,Canterbury-Bankstown,Sydney - Inner South West,NSW,2211,3431,Plastering Services,plasterers,ACT,1,50,50,75,45,70,80,70,60
46091409282,091409282,BUILDUP GYPROCK PTY. LIMITED,,Australian Private Company,Campsie,Canterbury-Bankstown,Sydney - Inner West,NSW,2194,3431,Plastering Services,plasterers,CAN,19,50,50,75,45,70,80,70,60
38639508302,639508302,JK RENDERING (AUST) PTY LTD,,Australian Private Company,Arding,Uralla,New England and North West,NSW,2358,3431,Plastering Services,plasterers,ACT,6,50,50,75,45,70,80,70,60
13295724512,,JAMES EDWARD DIGNALL,JED RENDERING,Individual/Sole Trader,Wright,Snowy Valleys,Australian Capital Territory,NSW,2611,3431,Plastering Services,plasterers,CAN,2,50,50,75,40,65,80,65,60
44619384753,619384753,ANK RENDERING PTY LTD,ANK RENDERING,Australian Private Company,Birrong,Cumberland,Sydney - Parramatta,NSW,2143,3431,Plastering Services,plasterers,ACT,8,50,50,75,45,70,80,70,60
82885539401,,The trustee for Anchara Cement Rendering Discretionary Trust,,Discretionary Trading Trust,Caringbah,Sutherland,Sydney - Sutherland,NSW,2229,3431,Plastering Services,plasterers,ACT,15,50,50,75,45,70,80,70,60
87714879680,,TIANYUN WANG,Eastern Plaster,Individual/Sole Trader,Belfield,Strathfield,Sydney - Sutherland,NSW,2191,3431,Plastering Services,plasterers,ACT,6,50,50,75,40,65,80,65,60
11103076348,103076348,180 PLASTER LININGS PTY LTD,,Australian Private Company,Burbong,Snowy Monaro,Australian Capital Territory,NSW,2620,3431,Plastering Services,plasterers,CAN,23,50,50,75,45,70,80,70,60
26649477878,649477878,SINA RENDERING SERVICES PTY LTD,,Australian Private Company,Constitution Hill,Parramatta,Sydney - Parramatta,NSW,2145,3431,Plastering Services,plasterers,ACT,5,50,50,75,45,70,80,70,60
63627072020,627072020,ILLANES PTY LTD,CONDOR RENDERING,Australian Private Company,Hurstville,Georges River,Sydney - Inner South West,NSW,2220,3431,Plastering Services,plasterers,ACT,7,50,50,75,45,70,80,70,60
