abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
54069214508,069214508,BRIAN CONNOR PLUMBING PTY LTD,,Australian Private Company,Audley,Sutherland,Sydney - Sutherland,NSW,2232,3411,Plumbing Services,plumbing,CAN,26,80,95,85,65,95,90,95,100
13943203784,,DAVID ANTHONY NACOVSKI,DRAIN IT PLUMBING GROUP,Individual/Sole Trader,South Hurstville,Georges River,Sydney - Sutherland,NSW,2221,3411,Plumbing Services,plumbing,NON,0,80,95,85,60,90,90,90,100
44869616261,,HUGH JAMES RODGERS,PAR PLUMBING,Individual/Sole Trader,Wallabi Point,Mid-Coast,Sydney - Sutherland,NSW,2430,3411,Plumbing Services,plumbing,ACT,4,80,95,85,60,90,90,90,100
45086736852,086736852,D BENNETT PLUMBING PTY LTD,,Australian Private Company,Caringbah,Sutherland,Sydney - Sutherland,NSW,2229,3411,Plumbing Services,plumbing,ACT,26,80,95,85,65,95,90,95,100
30159274272,159274272,MCATEER PLUMBING PTY LTD,,Australian Private Company,Bow Bowing,Camden,Sydney - Outer South West,NSW,2566,3411,Plumbing Services,plumbing,ACT,13,80,95,85,65,95,90,95,100
65072910582,072910582,BIRCHGROVE PLUMBING PTY LTD,,Australian Private Company,Croydon,Inner West,Sydney - Inner West,NSW,2132,3411,Plumbing Services,plumbing,CAN,26,80,95,85,65,95,90,95,100
26618899504,618899504,AQUAMAT PLUMBING PTY LTD,aquamat plumbing,Australian Private Company,Drummoyne,Canada Bay,Sydney - Inner West,NSW,2047,3411,Plumbing Services,plumbing,ACT,9,80,95,85,65,95,90,95,100
17115192302,115192302,AJ PLUMBING AND ENGINEERING PTY LTD,,Australian Private Company,Denistone East,Ryde,Sydney - Ryde,NSW,2112,3411,Plumbing Services,plumbing,ACT,20,80,95,85,65,95,90,95,100
51662483632,662483632,GODFREY PLUMBING PTY LTD,,Australian Private Company,Banora Point,Tweed,Richmond - Tweed,NSW,2486,3411,Plumbing Services,plumbing,ACT,3,80,95,85,65,95,90,95,100
84100018451,100018451,CITY COAST SERVICES PTY LTD,CITY COAST MAINTENANCE SERVICES,Australian Private Company,Balarang,Shellharbour,Illawarra,NSW,2529,3411,Plumbing Services,plumbing,ACT,24,80,95,85,65,95,90,95,100
