abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
62003368876,003368876,WHITANNA PTY LTD,BALLINA POOL SHOP,Australian Private Company,Ballina,Ballina,Richmond - Tweed,NSW,2478,3529,Other Construction,pool_services,ACT,26,70,90,90,55,75,75,75,75
77614515516,614515516,POOL BOX PTY. LTD.,,Australian Private Company,Pleasure Point,Sutherland,Sydney - South West,NSW,2172,3529,Other Construction,pool_services,NON,8,70,90,90,55,75,75,75,75
52676972797,,MARC WORNER,LAWNS LOVED GARDENS GROOMED,Individual/Sole Trader,Tumbi Umbi,Central Coast (NSW),Sydney - Sutherland,NSW,2261,3529,Other Construction,pool_services,CAN,26,70,90,90,50,70,75,70,75
63685912510,685912510,MAKD POOL SOLUTIONS PTY LTD,,Australian Private Company,Colyton,Blacktown,Sydney - Outer West and Blue Mountains,NSW,2760,3529,Other Construction,pool_services,ACT,1,70,90,90,55,75,75,75,75
75677264247,677264247,POSEIDON POOLS & SPAS PTY LTD,Poseidon Pool Services,Australian Private Company,Bucketty,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,2250,3529,Other Construction,pool_services,ACT,2,70,90,90,55,75,75,75,75
20122977063,,WADE ANTHONY CIAPPARA,CHIPPYS POOL CARE,Individual/Sole Trader,Stanford Merthyr,Cessnock,Sydney - Sutherland,NSW,2327,3529,Other Construction,pool_services,NON,0,70,90,90,50,70,75,70,75
34678226732,678226732,VONSTURMER PTY LTD,Jim's Pool Care (Frenchs Forest),Australian Private Company,Castle Cove,Northern Beaches,Sydney - North Sydney and Hornsby,NSW,2069,3529,Other Construction,pool_services,ACT,1,70,90,90,55,75,75,75,75
30529498321,,MARK STEPHENSON,BLUE ANGEL POOL SERVICE & MAINTENANCE,Individual/Sole Trader,Stanhope Gardens,Blacktown,Sydney - Sutherland,NSW,2768,3529,Other Construction,pool_services,ACT,26,70,90,90,50,70,75,70,75
63749620133,,GEMMA MICHELE MCWATERS,GEM POOL CLEANING,Individual/Sole Trader,Tibooburra,Unincorporated NSW,Mid North Coast,NSW,2880,3529,Other Construction,pool_services,NON,0,70,90,90,50,70,75,70,75
43251368641,,JOSHUA LUKE SMITH,F.I.G. Consultancy,Individual/Sole Trader,Harrington,Mid-Coast,Sydney - Sutherland,NSW,2427,3529,Other Construction,pool_services,ACT,8,70,90,90,50,70,75,70,75
