abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
55627286720,627286720,ALLDEK METAL ROOFING PTY LTD,,Australian Private Company,Caddens,Blacktown,Sydney - Outer West and Blue Mountains,NSW,2747,3411,Plumbing Services,roofing,ACT,7,75,65,80,75,95,95,85,75
65668261425,668261425,EFFECTIVE ROOFING SOLUTIONS PTY LTD,,Australian Private Company,Auburn,Cumberland,Sydney - Parramatta,NSW,2144,3411,Plumbing Services,roofing,ACT,3,75,65,80,75,95,95,85,75
88697797087,697797087,PMS ROOFING GROUP PTY LTD,,Australian Private Company,Ashcroft,Liverpool,Sydney - South West,NSW,2168,3411,Plumbing Services,roofing,ACT,0,75,65,80,75,95,95,85,75
59281846513,,LJB FASCIA & GUTTER,,Family Partnership,Belimbla Park,Wollondilly,Sydney - South West,NSW,2570,3411,Plumbing Services,roofing,ACT,12,75,65,80,75,95,95,85,75
50647676908,647676908,METAL ROOFING INDUSTRIES PTY LTD,,Australian Private Company,Glenmore Park,Wollondilly,Sydney - South West,NSW,2745,3411,Plumbing Services,roofing,ACT,5,75,65,80,75,95,95,85,75
21339847143,,CENK ALPER,TECHNICAL ROOFING & CLADDING,Individual/Sole Trader,Warumbul,Sutherland,Sydney - Sutherland,NSW,2229,3411,Plumbing Services,roofing,ACT,8,75,65,80,70,90,95,80,75
26196775477,,BOTROS Y BOTROS,PJ ROOFING & MAINTENANCE,Individual/Sole Trader,Westmead,Parramatta,Sydney - Sutherland,NSW,2145,3411,Plumbing Services,roofing,ACT,19,75,65,80,70,90,95,80,75
37619707096,619707096,CHIHA ROOFING SYDNEY PTY LTD,,Australian Private Company,Leichhardt,Inner West,Sydney - Inner West,NSW,2040,3411,Plumbing Services,roofing,ACT,8,75,65,80,75,95,95,85,75
31691755781,691755781,HERITAGE ROOFING AND CONSTRUCTION PTY LTD,,Australian Private Company,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,3411,Plumbing Services,roofing,ACT,0,75,65,80,75,95,95,85,75
41061570410,061570410,VOSTEK INDUSTRIES PTY LIMITED,VOSTEK INDUSTRIES PTY LTD,Australian Private Company,Abbotsford,Canada Bay,Sydney - Inner West,NSW,2046,3411,Plumbing Services,roofing,ACT,26,75,65,80,75,95,95,85,75
