abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
26665880109,,AARON JOHN TYAS,355 Security Installations,Individual/Sole Trader,Whale Beach,Northern Beaches,Sydney - Sutherland,NSW,2107,3429,Other Building Installation,security_installers,ACT,16,65,85,80,40,75,75,75,95
81637029559,637029559,MAXIMUM SECURITY AND TECHNOLOGY SERVICES PTY LTD,,Australian Private Company,Bucketty,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,2250,3429,Other Building Installation,security_installers,ACT,6,65,85,80,45,80,75,80,95
14655550244,655550244,TECHWISE PTY LTD,Sydney Security Group,Australian Private Company,North Richmond,Hawkesbury,Sydney - Outer West and Blue Mountains,NSW,2754,3429,Other Building Installation,security_installers,ACT,4,65,85,80,45,80,75,80,95
80387129089,,CON FOUSTERIS,RISKCORP SECURITY,Individual/Sole Trader,Kingsway West,Bayside (NSW),Sydney - Sutherland,NSW,2208,3429,Other Building Installation,security_installers,ACT,6,65,85,80,40,75,75,75,95
34572700882,,BENJAMIN E BURRAGE,BEN BURRAGE,Individual/Sole Trader,Woolomin,Liverpool Plains,Sydney - Baulkham Hills and Hawkesbury,NSW,2340,3429,Other Building Installation,security_installers,CAN,25,65,85,80,40,75,75,75,95
42558869374,,The Trustee for JAKELEIGH TRUST,ARMTROL SECURITY,Discretionary Trading Trust,Baan Baa,Gwydir,New England and North West,NSW,2390,3429,Other Building Installation,security_installers,ACT,22,65,85,80,45,80,75,80,95
39660720570,660720570,SAJE SECURITY PTY LIMITED,,Australian Private Company,Homebush Bay,Canada Bay,Sydney - Parramatta,NSW,2127,3429,Other Building Installation,security_installers,ACT,3,65,85,80,45,80,75,80,95
88600536196,600536196,FRANK'S OUTBACK SECURITY PTY LTD,,Australian Private Company,Barringun,Brewarrina,Far West and Orana,NSW,2840,3429,Other Building Installation,security_installers,ACT,11,65,85,80,45,80,75,80,95
42002157388,002157388,GRID SECURITY SERVICES PTY LTD,GRID SECUIRTY SERVICES PTY LTD,Australian Private Company,Banksmeadow,Bayside (NSW),Sydney - City and Inner South,NSW,2019,3429,Other Building Installation,security_installers,ACT,26,65,85,80,45,80,75,80,95
30608417652,608417652,APOLLO ALARM SYSTEMS PTY LTD,alpha alarms,Australian Private Company,Annangrove,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,2156,3429,Other Building Installation,security_installers,ACT,10,65,85,80,45,80,75,80,95
