abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
16420110350,,JOHN BAILEY,Solar Active,Individual/Sole Trader,Tilligerry Creek,Port Stephens,Sydney - Sutherland,NSW,2319,3421,Electrical Services,solar,ACT,22,70,80,85,50,80,85,85,100
65541122566,,The Trustee for ClearSky Solar Trust No 33,,Fixed Unit Trust,Mosman,Mosman,Sydney - North Sydney and Hornsby,NSW,2088,3421,Electrical Services,solar,NON,5,70,80,85,55,85,85,90,100
18318349664,,MING TAO CHEN,Solar Energy Brisbane,Individual/Sole Trader,Wahroonga,Hornsby,Sydney - Sutherland,NSW,2076,3421,Electrical Services,solar,ACT,2,70,80,85,50,80,85,85,100
70837711061,,The Trustee for ClearSky Solar Trust No. 10,,Fixed Unit Trust,Mosman,Mosman,Sydney - North Sydney and Hornsby,NSW,2088,3421,Electrical Services,solar,NON,9,70,80,85,55,85,85,90,100
11420616750,,W.W JONES & E.W PORTER,Eco Kleen Solar Tweed Coast,Other Partnership,Casuarina,Tweed,Richmond - Tweed,NSW,2487,3421,Electrical Services,solar,NON,3,70,80,85,55,85,85,90,100
83680200873,680200873,KINDICOVER PTY LTD,Solar Suggest & Consulting,Australian Private Company,Blakehurst,Georges River,Sydney - Inner South West,NSW,2221,3421,Electrical Services,solar,ACT,1,70,80,85,55,85,85,90,100
39144906516,144906516,ASP SOLAR PTY LTD,,Australian Private Company,Silverwater,Parramatta,Sydney - Parramatta,NSW,2128,3421,Electrical Services,solar,ACT,15,70,80,85,55,85,85,90,100
69803844740,,RICHARD JAMES HAINES,Haines Solar & Window Cleaning Services,Individual/Sole Trader,Wyalong,Forbes,Riverina,NSW,2671,3421,Electrical Services,solar,NON,4,70,80,85,50,80,85,85,100
14643686686,643686686,SANCTUARY SOLAR PTY LTD,,Australian Private Company,Broken Head,Ballina,Richmond - Tweed,NSW,2481,3421,Electrical Services,solar,ACT,5,70,80,85,55,85,85,90,100
60602188929,602188929,AVYAYA PTY. LTD.,Suncliff Solar,Australian Private Company,Blaxcell,Parramatta,Sydney - Parramatta,NSW,2142,3421,Electrical Services,solar,ACT,11,70,80,85,55,85,85,90,100
