abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
39001696064,001696064,HAMAN ENGINEERING PTY LTD,,Australian Private Company,Catherine Field,Liverpool,Sydney - South West,NSW,2557,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,16,75,50,60,80,85,95,85,75
62613690949,613690949,STEEL CITY BOXING ACADEMY PTY LTD,Steel City Men,Australian Private Company,Broadmeadow,Newcastle,Newcastle and Lake Macquarie,NSW,2292,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,5,75,50,60,80,85,95,85,75
27601598275,,A SANDILANDS & W.L SANDILANDS,ALAN & WALLIS SANDILANDS,Other Partnership,Maroubra,Bayside (NSW),Sydney - Eastern Suburbs,NSW,2035,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,25,75,50,60,80,85,95,85,75
87083258431,083258431,BALE DEFENCE ENGINEERING SYSTEMS PTY LTD,BALE DEFENCE,Australian Private Company,Blackmans Point,Port Macquarie-Hastings,Mid North Coast,NSW,2444,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,15,75,50,60,80,85,95,85,75
14670981629,670981629,WEST RECRUITMENT ENGINEERING PTY LTD,,Australian Private Company,Harris Park,Parramatta,Sydney - Parramatta,NSW,2150,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,2,75,50,60,80,85,95,85,75
70048749438,,PETER ALLEN JOHNSON,JOHNSON INTERNET ENGINEERING,Individual/Sole Trader,St Ives Chase,Northern Beaches,Sydney - Sutherland,NSW,2075,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,0,75,50,60,75,80,95,80,75
87648606053,648606053,VELVET STEEL PTY LTD,POLEHAB,Australian Private Company,Croydon,Inner West,Sydney - Inner West,NSW,2132,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,5,75,50,60,80,85,95,85,75
24398139735,,MATHEW RAYMOND EDSALL,MRE ENGINEERING SOLUTIONS,Individual/Sole Trader,Seven Hills West,Parramatta,Sydney - Sutherland,NSW,2147,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,3,75,50,60,75,80,95,80,75
39616337494,616337494,PARRU ENGINEERING PTY LTD,,Australian Private Company,Arncliffe,Bayside (NSW),Sydney - Inner South West,NSW,2205,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,9,75,50,60,80,85,95,85,75
17151771167,151771167,Precision Mobile Machining Pty Ltd,PMM Engineering,Australian Private Company,Appleby,Liverpool Plains,New England and North West,NSW,2340,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,14,75,50,60,80,85,95,85,75
