abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
71461194682,,MANDEEP SINGH,SYDNEY URBAN LIMOUSINES,Individual/Sole Trader,Plumpton,Blacktown,Sydney - Sutherland,NSW,2761,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,23,95,60,60,65,85,70,75,65
59378662049,,TAXI SAMURAI INCORPORATED,,Other Incorporated Entity,Homebush,Canada Bay,Sydney - Inner West,NSW,2140,4622,Taxi and Other Road Transport,taxi_rideshare,NON,9,90,55,55,60,80,65,70,60
87639681548,639681548,OPAL CABS PTY LTD,,Australian Private Company,Homebush,Canada Bay,Sydney - Inner West,NSW,2140,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,6,95,60,60,70,90,70,80,65
67035345372,,SANDEEP PAL SINGH,TAXI,Individual/Sole Trader,Woolgoolga,Clarence Valley,Sydney - Sutherland,NSW,2456,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,4,95,60,60,65,85,70,75,65
29150906983,,MOHAMMAD HASHIM SAHOW,TAXI DRIVER,Individual/Sole Trader,Bass Hill,Canterbury-Bankstown,Sydney - Sutherland,NSW,2197,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,0,90,55,55,60,80,65,70,60
42845738639,,YUNFEI WANG,COMBINED TAXI SERVICE,Individual/Sole Trader,Ramsgate Beach,Georges River,Sydney - Sutherland,NSW,2217,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,24,95,60,60,65,85,70,75,65
28755697254,,MUHAMMAD MUMEEZ LATIF,Mumeez Traders,Individual/Sole Trader,Wentworth Point,Canada Bay,Sydney - Sutherland,NSW,2127,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,18,95,60,60,65,85,70,75,65
40782151082,,MARK ANTHONY PAYNE,MA & LA PAYNE TAXI TRUCK,Individual/Sole Trader,Wyalong,Forbes,Riverina,NSW,2671,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,65,85,70,75,65
79082359327,,MOHAMMAD DARYOUSH AGHA-KOUCHAK,TAXI SERVICE,Individual/Sole Trader,Haberfield,Canada Bay,Sydney - Sutherland,NSW,2045,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,65,85,70,75,65
76184933162,,MD MASUM ALAM,MASUM ALAM,Individual/Sole Trader,Tennyson Point,Hunters Hill,Sydney - Sutherland,NSW,2111,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,11,95,60,60,65,85,70,75,65
42675645460,,NATHAN BEST,NABS CABS,Individual/Sole Trader,Yanga,Murray River,Riverina,NSW,2711,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,9,95,60,60,65,85,70,75,65
81740890541,,MUDITHA MALWENNA,m.s.TAXI,Individual/Sole Trader,South Penrith,Penrith,Sydney - Sutherland,NSW,2750,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,18,95,60,60,65,85,70,75,65
62775402455,,CAROLYN RUTH GOLDTHORPE,AUZLINK CHAUFFEURED CARS,Individual/Sole Trader,Windella,Dungog,Sydney - Sutherland,NSW,2320,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,3,90,55,55,60,80,65,70,60
81642482415,642482415,DREAM EZI LIMOUSINES PTY. LTD.,1-54966282999,Australian Private Company,Hawkesbury Heights,Blue Mountains,Sydney - Outer West and Blue Mountains,NSW,2777,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,5,95,60,60,70,90,70,80,65
59957158228,,ANTHONY KERVIN,MAXI CAB SERVICES,Individual/Sole Trader,Woodbine,Wollongong,Sydney - Sutherland,NSW,2560,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,65,85,70,75,65
54667436185,,NORTHERN DISTRICTS TAXI DRIVERS GOLF CLUB,,Other Unincorporated Entity,Old Toongabbie,Cumberland,Sydney - Parramatta,NSW,2146,4622,Taxi and Other Road Transport,taxi_rideshare,NON,24,90,55,55,60,80,65,70,60
37695686538,,YONG SHEN,TAXI CAB,Individual/Sole Trader,Kingsdene,The Hills,Sydney - Sutherland,NSW,2118,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,65,85,70,75,65
28657417178,,FENGJIAN SUN,TAXI,Individual/Sole Trader,Hurstville Westfield,Georges River,Sydney - Sutherland,NSW,2220,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,65,85,70,75,65
72955831177,,RODNEY MORGAN,A1-ROD'S CHAUFFEUR SERVICES,Individual/Sole Trader,Berkeley,Wollongong,Sydney - Sutherland,NSW,2506,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,8,95,60,60,65,85,70,75,65
70645438865,,GRAHAM LEWIS,SAPPHIRE COAST LIMOUSINE SERVICE,Individual/Sole Trader,Yellow Pinch,Bega Valley,Sydney - Baulkham Hills and Hawkesbury,NSW,2548,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,65,85,70,75,65
22032506903,,TAO ZHENG,TAXI DRIVER,Individual/Sole Trader,Hurstville Westfield,Georges River,Sydney - Sutherland,NSW,2220,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,24,95,60,60,65,85,70,75,65
16673723861,673723861,YOUR LOCAL TAXI CO. PTY LTD,,Australian Private Company,Broken Head,Ballina,Richmond - Tweed,NSW,2481,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,2,95,60,60,70,90,70,80,65
24622083998,622083998,AUSSIE EAGLE LIMOUSINE & AIRPORT TRANSFERS PTY LTD,,Australian Private Company,Angus,Penrith,Sydney - Outer West and Blue Mountains,NSW,2765,4622,Taxi and Other Road Transport,taxi_rideshare,NON,8,90,55,55,65,85,65,75,60
30243708710,,SABAH YOUKHANA,YOUKHANA TAXI OPERATOR,Individual/Sole Trader,Willmot,Blacktown,Sydney - Sutherland,NSW,2770,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,65,85,70,75,65
86145258251,145258251,ALL EURO LIMOUSINES PTY LTD,,Australian Private Company,Avoca,Shellharbour,Southern Highlands and Shoalhaven,NSW,2577,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,15,95,60,60,70,90,70,80,65
