abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
71656032487,656032487,JOOP TILING PTY LTD,,Australian Private Company,Burbong,Snowy Monaro,Australian Capital Territory,NSW,2620,3439,Tiling & Carpeting,tiling,CAN,4,50,50,75,45,70,75,65,60
66994126217,,ALI NEAMAH,ALI & H TILING SERVICES,Individual/Sole Trader,Willmot,Blacktown,Sydney - Sutherland,NSW,2770,3439,Tiling & Carpeting,tiling,NON,5,50,50,75,40,65,75,60,60
72031809334,,REECE CRAWFORD,RIGHTWAY CERAMIC TILING,Individual/Sole Trader,Rouse Hill,Blacktown,Sydney - Sutherland,NSW,2155,3439,Tiling & Carpeting,tiling,NON,8,50,50,75,40,65,75,60,60
84670817044,670817044,PORCELLAN TILES AUSTRALIA PTY LTD,,Australian Private Company,Alexandria,Sydney,Sydney - City and Inner South,NSW,2015,3439,Tiling & Carpeting,tiling,NON,2,50,50,75,45,70,75,65,60
59696589625,696589625,NAD TILING SERVICES PTY LTD,,Australian Private Company,Chester Hill,Cumberland,Sydney - Parramatta,NSW,2162,3439,Tiling & Carpeting,tiling,ACT,0,50,50,75,45,70,75,65,60
40083237165,083237165,TILING AND MORE PTY LTD,tiling and more,Australian Private Company,Appleby,Liverpool Plains,New England and North West,NSW,2340,3439,Tiling & Carpeting,tiling,ACT,26,50,50,75,45,70,75,65,60
31648235269,648235269,AZIMI TILING GROUP PTY LTD,,Australian Private Company,Chester Hill,Cumberland,Sydney - Parramatta,NSW,2162,3439,Tiling & Carpeting,tiling,ACT,5,50,50,75,45,70,75,65,60
76132026834,132026834,PACIFIC TILES SEFTON PTY LIMITED,,Australian Private Company,Chester Hill,Cumberland,Sydney - Parramatta,NSW,2162,3439,Tiling & Carpeting,tiling,ACT,17,50,50,75,45,70,75,65,60
87748047549,,HANNA YAACOUB,MMM TILING AND PAVING,Individual/Sole Trader,Merrylands West,Parramatta,Sydney - Sutherland,NSW,2160,3439,Tiling & Carpeting,tiling,ACT,9,50,50,75,40,65,75,60,60
22624406131,624406131,HARCO TILING PTY LTD,,Australian Private Company,Northmead,Parramatta,Sydney - Parramatta,NSW,2152,3439,Tiling & Carpeting,tiling,ACT,8,50,50,75,45,70,75,65,60
