abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
58615140308,615140308,NEWMATIC WASTE PTY. LTD.,,Australian Private Company,Hmas Platypus,North Sydney,Sydney - North Sydney and Hornsby,NSW,2060,7290,Other Administrative Services,waste_skip,ACT,9,100,65,65,95,90,100,80,70
35083122927,083122927,IMS INSTALLATIONS (INTERNATIONAL) PTY LTD,IMS INSTALLATIONS INTERNATIONAL PTY LT D,Australian Private Company,Castlereagh,Penrith,Sydney - Outer West and Blue Mountains,NSW,2749,7290,Other Administrative Services,waste_skip,ACT,26,100,65,65,95,90,100,80,70
15775910708,,JEFFREY & SUSAN HUGHES,TOTAL WASTE WATER SERVICES,Other Partnership,Balmoral,Wingecarribee,Sydney - Outer South West,NSW,2571,7290,Other Administrative Services,waste_skip,CAN,26,100,65,65,95,90,100,80,70
14103921197,103921197,Rent Me Australia Pty Ltd,Bin there dump that skips,Australian Private Company,Beaumont Hills,Blacktown,Sydney - Blacktown,NSW,2155,7290,Other Administrative Services,waste_skip,ACT,14,100,65,65,95,90,100,80,70
18631002358,631002358,OZER GROUP PTY LTD,123 RUBBISH REMOVAL,Australian Private Company,Kangaroo Point,Sutherland,Sydney - Sutherland,NSW,2224,7290,Other Administrative Services,waste_skip,ACT,7,100,65,65,95,90,100,80,70
85616098367,616098367,100% LIQUID WASTE SOLUTIONS PTY LIMITED,,Australian Private Company,North Richmond,Hawkesbury,Sydney - Outer West and Blue Mountains,NSW,2754,7290,Other Administrative Services,waste_skip,ACT,9,100,65,65,95,90,100,80,70
98737718484,,DARRYL MARTIN PAGE,ACORN REMOVALS FURNITURE AND RUBBISH,Individual/Sole Trader,St Ives Chase,Northern Beaches,Sydney - Sutherland,NSW,2075,7290,Other Administrative Services,waste_skip,CAN,26,100,65,65,90,85,100,75,70
52661505513,661505513,WS WASTE SERVICES PTY LTD,,Australian Private Company,Birrong,Cumberland,Sydney - Parramatta,NSW,2143,7290,Other Administrative Services,waste_skip,NON,3,100,65,65,95,90,100,80,70
90540307133,,CRAIG JOHN GLADWIN,ULLADULLA GARDEN BAGS & GREEN WASTE SERVICES,Individual/Sole Trader,Yatte Yattah,Shoalhaven,Sydney - Sutherland,NSW,2539,7290,Other Administrative Services,waste_skip,NON,17,100,65,65,90,85,100,75,70
19617856112,617856112,YF WASTE SERVICES PTY LTD,,Australian Private Company,Punchbowl,Canterbury-Bankstown,Sydney - Inner South West,NSW,2196,7290,Other Administrative Services,waste_skip,ACT,9,100,65,65,95,90,100,80,70
