abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
70695957658,,H.M HEWITSON & C.J PARTRIDGE,Cairns City Motel,Family Partnership,Allan,Southern Downs,Darling Downs - Maranoa,QLD,4370,4400,Accommodation,accommodation,ACT,11,55,75,90,50,90,55,80,65
57911212805,,The Trustee for LEWANI SPRINGS RESORT TRUST,,Fixed Unit Trust,Benowa,Gold Coast,Gold Coast,QLD,4217,4400,Accommodation,accommodation,ACT,26,55,75,90,50,90,55,80,65
90615283460,615283460,STAR LEASEHOLD INVESTMENTS PTY LTD,Bob's Bulk Booze Hendra,Australian Private Company,Ascot,,Brisbane Inner City,QLD,4007,4400,Accommodation,accommodation,ACT,9,55,75,90,50,90,55,80,65
93726447792,,PETER JOHN LOHSE,P J LOHSE,Individual/Sole Trader,Woondum,Fraser Coast,Wide Bay,QLD,4570,4400,Accommodation,accommodation,CAN,26,50,70,85,40,80,50,70,60
18034334277,,The trustee for PS Developments Trust,Terranora Resorts,Discretionary Trading Trust,Australia Fair,Gold Coast,Gold Coast,QLD,4215,4400,Accommodation,accommodation,CAN,17,50,70,85,45,85,50,75,60
41033478022,,The Trustee for CJ & L FORSTER FAMILY TRUST,NOOSA PALM TREE MOTEL,Discretionary Trading Trust,Boreen,Noosa,Sunshine Coast,QLD,4565,4400,Accommodation,accommodation,CAN,26,50,70,85,45,85,50,75,60
63005417738,005417738,THE CARLTON INN HOTEL PTY. LTD.,,Australian Private Company,Airlie Beach,Whitsunday,Mackay,QLD,4802,4400,Accommodation,accommodation,ACT,26,55,75,90,50,90,55,80,65
45278479091,,The Trustee for Brisbane Backpacker's Resort Trust,,Discretionary Trading Trust,Highgate Hill,Brisbane,Brisbane Inner City,QLD,4101,4400,Accommodation,accommodation,CAN,12,50,70,85,45,85,50,75,60
89162486160,162486160,MOTO RESORT MANAGEMENT AUST. PTY LTD,,Australian Private Company,Clayfield,Brisbane,Brisbane Inner City,QLD,4011,4400,Accommodation,accommodation,CAN,13,50,70,85,45,85,50,75,60
11090503923,090503923,WYNDHAM VACATION CLUBS SOUTH PACIFIC LTD,TRENDWEST RESORTS SOUTH PACIFIC,Australian Public Company,Benowa,Gold Coast,Gold Coast,QLD,4217,4400,Accommodation,accommodation,ACT,26,55,75,90,50,90,55,80,65
