abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
31668143978,,The Trustee for The Crow Investment Trust,PACMAR ACCOUNTING & TAX,Discretionary Investment Trust,Broadbeach,Gold Coast,Gold Coast,QLD,4218,6923,Accounting Services,accounting,NON,9,30,90,85,25,80,15,65,70
17219191820,,The Trustee for Payne Family Trust,MBS ACCOUNTING,Discretionary Investment Trust,Alexandra,Mackay,Mackay,QLD,4740,6923,Accounting Services,accounting,CAN,22,30,90,85,25,80,15,65,70
34169834271,169834271,BUSINESS EDGE PROFESSIONALS PTY LTD,Ambrosiussen The Business Accountants,Australian Private Company,Athol,Toowoomba,Toowoomba,QLD,4350,6923,Accounting Services,accounting,ACT,11,35,95,90,30,85,20,70,75
85684161868,684161868,CLEVER CAT ACCOUNTING PTY LTD,CLEVER CAT ACCOUNTING,Australian Private Company,Nundah,Brisbane,Brisbane Inner City,QLD,4012,6923,Accounting Services,accounting,ACT,1,35,95,90,30,85,20,70,75
58114010221,114010221,GMS Accounting Solutions Pty Ltd,,Australian Private Company,Camp Hill,Brisbane,Brisbane Inner City,QLD,4152,6923,Accounting Services,accounting,NON,21,30,90,85,25,80,15,65,70
62590821680,,GEOFFREY ARTHUR MATHERS,MATHERS ACCOUNTANTS & ASSOCIATES,Individual/Sole Trader,Woongarra,,Wide Bay,QLD,4670,6923,Accounting Services,accounting,ACT,5,35,95,90,25,80,20,65,75
94361357198,,FPH AGENCIES PTY LTD & The Trustee for A A Ponti Family Trust,FPH ACCOUNTANTS,Other Partnership,Aitkenvale,Townsville,Townsville,QLD,4814,6923,Accounting Services,accounting,ACT,26,35,95,90,30,85,20,70,75
60609211501,609211501,YLM ACCOUNTING PTY. LTD.,,Australian Private Company,Alice River,Charters Towers,Townsville,QLD,4817,6923,Accounting Services,accounting,ACT,10,35,95,90,30,85,20,70,75
36329892369,,The Trustee for TWG Unit Trust,Whyte Group - Accountants,Hybrid Trust,Banyo,Brisbane,Brisbane - North,QLD,4014,6923,Accounting Services,accounting,ACT,7,35,95,90,30,85,20,70,75
83144722449,144722449,MY FORTRESS ACCOUNTING PTY LTD,AUSTAX - TOWNSVILLE,Australian Private Company,Condon,Townsville,Townsville,QLD,4815,6923,Accounting Services,accounting,ACT,15,35,95,90,30,85,20,70,75
