abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
13674423682,674423682,THE OSTEOPATHIC SOLUTION PTY LTD,THE OSTEOPATHIC SOLUTION,Australian Private Company,Mansfield,Brisbane,Brisbane - South,QLD,4122,8539,Other Allied Health Services,allied_health,ACT,2,40,85,80,50,95,65,80,80
98115284681,115284681,PHYSIOTHERAPY WORX PTY LTD,,Australian Private Company,Advancetown,Scenic Rim,Gold Coast,QLD,4211,8539,Other Allied Health Services,allied_health,CAN,20,35,80,75,45,90,60,75,75
30062762761,062762761,TANAFOX PTY. LTD.,BUNDABERG PHYSIOTHERAPY CENTRE,Australian Private Company,Abbotsford,,Wide Bay,QLD,4670,8539,Other Allied Health Services,allied_health,ACT,26,40,85,80,50,95,65,80,80
58094856345,094856345,GEOMATJON ENTERPRISES PTY LTD,IN-LINE PHYSIO,Australian Private Company,Advancetown,Scenic Rim,Gold Coast,QLD,4211,8539,Other Allied Health Services,allied_health,ACT,25,40,85,80,50,95,65,80,80
20349720790,,JACQUELINE ROSEMARY QUINN,DR JACQUELINE QUINN OSTEOPATH,Individual/Sole Trader,Tally Valley,Gold Coast,Sunshine Coast,QLD,4220,8539,Other Allied Health Services,allied_health,NON,12,35,80,75,40,85,60,70,75
75056819534,,GAIL ANN TURNER,Gail Turner Psychologist,Individual/Sole Trader,Wyalla Plaza,Toowoomba,Wide Bay,QLD,4350,8539,Other Allied Health Services,allied_health,NON,20,35,80,75,40,85,60,70,75
27053426315,,REBEKKA ISOBEL TUQIRI,REBEKKA TUQIRI PSYCHOLOGY CONSULTANCY SERVICES,Individual/Sole Trader,Taringa,Brisbane,Sunshine Coast,QLD,4068,8539,Other Allied Health Services,allied_health,ACT,19,40,85,80,45,90,65,75,80
14814436139,,The Trustee for Nuts & Bolts Physiotherapy Discretionary Trust,,Discretionary Trading Trust,Canowindra,Gold Coast,Gold Coast,QLD,4209,8539,Other Allied Health Services,allied_health,ACT,1,40,85,80,50,95,65,80,80
13003512329,003512329,PROMED PODIATRY CLINIC PTY LIMITED,PROMED PHYSIOTHERAPY & PODIATRY CLINIC PTY LTD,Australian Private Company,Burleigh Bc,Gold Coast,Gold Coast,QLD,4220,8539,Other Allied Health Services,allied_health,ACT,26,40,85,80,50,95,65,80,80
37304276151,,The trustee for The Olsen Family Trust,The Olsen Family Trust,Discretionary Trading Trust,Carbrook,Redland,Logan - Beaudesert,QLD,4130,8539,Other Allied Health Services,allied_health,ACT,20,40,85,80,50,95,65,80,80
