abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
82092304035,092304035,CORAL REEF PROPERTIES PTY LTD,VORITE PTY LTD,Australian Private Company,Alexandra,Mackay,Mackay,QLD,4740,4512,Takeaway Food Services,bar_pub,ACT,26,50,75,85,60,95,65,85,60
82183571389,,The Trustee for THE GAY-BAR TRUST,X Y Z INVESTMENTS PTY LTD,Discretionary Investment Trust,Birkdale,Redland,Brisbane - East,QLD,4159,4512,Takeaway Food Services,bar_pub,ACT,25,50,75,85,60,95,65,85,60
35225485087,,THOMAS PETER BAR,THE AUSSIE FINISH,Individual/Sole Trader,Woombye,Sunshine Coast,Wide Bay,QLD,4559,4512,Takeaway Food Services,bar_pub,NON,0,45,70,80,50,85,60,75,55
78956683448,,SAXBY ROUND-UP ASSOCIATION INC,BAR FUNDRAISING,Other Incorporated Entity,Carpentaria,Burke,Queensland - Outback,QLD,4823,4512,Takeaway Food Services,bar_pub,ACT,25,50,75,85,55,90,65,80,60
29693241226,693241226,WOK & ROLL SNACKBAR PTY LTD,,Australian Private Company,Mansfield,Brisbane,Brisbane - South,QLD,4122,4512,Takeaway Food Services,bar_pub,ACT,0,50,75,85,60,95,65,85,60
24256465367,,M HERNANDEZ & M UNG HERNANDEZ,Popa's snack bar,Family Partnership,Augustine Heights,Ipswich,Ipswich,QLD,4300,4512,Takeaway Food Services,bar_pub,CAN,3,45,70,80,55,90,60,80,55
74823714462,,The Trustee for IT Bar Family Trust,,Discretionary Trading Trust,Australia Fair,Gold Coast,Gold Coast,QLD,4215,4512,Takeaway Food Services,bar_pub,ACT,9,50,75,85,60,95,65,85,60
51155883215,,The Trustee for The Woodpecker Tavern Trust,,Fixed Unit Trust,Burpengary,Moreton Bay,Moreton Bay - North,QLD,4505,4512,Takeaway Food Services,bar_pub,ACT,0,50,75,85,60,95,65,85,60
28537202756,,MAJED SHARIFI TABAR,,Individual/Sole Trader,Virginia Dc,Brisbane,Sunshine Coast,QLD,4014,4512,Takeaway Food Services,bar_pub,NON,0,45,70,80,50,85,60,75,55
45786631922,,ALI AKBAR REZAEE,,Individual/Sole Trader,Park Ridge South,Logan,Sunshine Coast,QLD,4125,4512,Takeaway Food Services,bar_pub,NON,0,45,70,80,50,85,60,75,55
