abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
83475402720,,JACK WILLIAM KURTZ,KURTZ TRADE & CONSTRUCTION,Individual/Sole Trader,Woongarra,,Wide Bay,QLD,4670,3010,House Construction,building_construction,NON,1,80,60,75,85,90,90,85,75
62628012484,628012484,BETCS ASIA-PACIFIC PTY LTD,beTcs Asia-Pacific,Australian Private Company,Fitzgibbon,Brisbane,Brisbane - North,QLD,4018,3010,House Construction,building_construction,ACT,7,80,60,75,90,95,90,90,75
94425416551,,R & KI MANLEY,R & K MANLEY CONSTRUCTION,Family Partnership,Brookfield,Brisbane,Ipswich,QLD,4069,3010,House Construction,building_construction,ACT,26,80,60,75,90,95,90,90,75
64612420792,612420792,318 CONSTRUCTION & BUILDING MAINTENANCE PTY LTD,,Australian Private Company,Chambers Flat,Logan,Logan - Beaudesert,QLD,4133,3010,House Construction,building_construction,ACT,10,80,60,75,90,95,90,90,75
61687125399,,HOANG DUONG,Eco-Renovation Solutions,Individual/Sole Trader,Serviceton,Brisbane,Sunshine Coast,QLD,4077,3010,House Construction,building_construction,NON,1,80,60,75,85,90,90,85,75
41694130660,694130660,JDB CONSTRUCTION PTY LTD,JDB CONSTRUCTION,Australian Private Company,Reedy Creek,Gold Coast,Gold Coast,QLD,4227,3010,House Construction,building_construction,ACT,0,80,60,75,90,95,90,90,75
17619936712,,The Trustee for JWC Carpentry & Maintenance Trust,,Discretionary Trading Trust,Cleveland,Redland,Brisbane - East,QLD,4163,3010,House Construction,building_construction,ACT,1,80,60,75,90,95,90,90,75
42151646598,151646598,SKY BUILDING AUSTRALIA PTY LTD,,Australian Private Company,Australia Fair,Gold Coast,Gold Coast,QLD,4215,3010,House Construction,building_construction,ACT,14,80,60,75,90,95,90,90,75
40961009725,,BUILDING AND CONSTRUCTION INDIGENOUS CORPORATION,,Other Incorporated Entity,Badu Island,,Queensland - Outback,QLD,4875,3010,House Construction,building_construction,ACT,8,80,60,75,85,90,90,85,75
52619656495,,MICHAEL ANTHONY O'NEILL,O.N.L. DESIGN CONSTRUCTION MAINTENANCE,Individual/Sole Trader,Palm Beach,Gold Coast,Sunshine Coast,QLD,4221,3010,House Construction,building_construction,NON,4,80,60,75,85,90,90,85,75
