abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
22003532625,003532625,ZAMONER PTY. LIMITED,ZAMONER PTY LIMITED,Australian Private Company,Atkinsons Dam,Lockyer Valley,Toowoomba,QLD,4311,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,80,95,80,90,75
74278931379,,EUROMBAH CREEK SCHOOL BUS ASSOCIATION INCORPORATED,EUROMBAH CREEK BUS COMMITTEE INC,Other Incorporated Entity,Baroondah,Western Downs,Fitzroy,QLD,4420,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,75,90,80,85,75
92111712031,111712031,ROSS BUS COMPANY PTY LTD,ISIS BUS SERVICE,Australian Private Company,Aldershot,Gympie,Wide Bay,QLD,4650,4610,Road Passenger Transport,bus_coach,ACT,21,100,65,60,80,95,80,90,75
25010957552,010957552,SURFSIDE BUSLINES PTY. LTD.,SURFSIDE BUSLINES,Australian Private Company,Clear Island Waters,Gold Coast,Gold Coast,QLD,4226,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,80,95,80,90,75
17104212276,,The trustee for Maguire Family Trust,MAGUIRE COACHES & TRAVEL,Discretionary Trading Trust,Auburn,Western Downs,Darling Downs - Maranoa,QLD,4413,4610,Road Passenger Transport,bus_coach,CAN,18,95,60,55,75,90,75,85,70
91151219420,151219420,ROSS BUS AND COACHES PTY LTD,,Australian Private Company,Coolum Beach,Noosa,Sunshine Coast,QLD,4573,4610,Road Passenger Transport,bus_coach,CAN,14,95,60,55,75,90,75,85,70
13097912662,097912662,SMMP PTY LTD,RJS Services Qld,Australian Private Company,Amiens,Goondiwindi,Toowoomba,QLD,4352,4610,Road Passenger Transport,bus_coach,ACT,24,100,65,60,80,95,80,90,75
23121475919,,WAYNE GEOFFREY BARNARD,BARNARD BUSINESS SERVICES,Individual/Sole Trader,Point Lookout,Gold Coast,Wide Bay,QLD,4183,4610,Road Passenger Transport,bus_coach,CAN,3,95,60,55,70,85,75,80,70
42918853419,,JOHN GARY DUFFY,TOUR COACH SERVICES,Individual/Sole Trader,Palmwoods,Sunshine Coast,Wide Bay,QLD,4555,4610,Road Passenger Transport,bus_coach,CAN,16,95,60,55,70,85,75,80,70
30468738002,,R.E SCIFLEET & S.M SCIFLEET,Russell Eric Scifleet & Sherelle Margaret Scifleet,Family Partnership,Acland,Toowoomba,Darling Downs - Maranoa,QLD,4401,4610,Road Passenger Transport,bus_coach,ACT,19,100,65,60,80,95,80,90,75
71031566885,,G.A STEWART & G.J STEWART,NANANGO BUS AND COACH,Family Partnership,Barker Creek Flat,Gympie,Wide Bay,QLD,4615,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,80,95,80,90,75
81052452025,052452025,MT. GRAVATT COACH AND TRAVEL PTY. LTD.,MT GRAVATT COACH & TRAVEL,Australian Private Company,Underwood,Logan,Logan - Beaudesert,QLD,4119,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,80,95,80,90,75
80085000693,085000693,CDC SOUTH EAST QUEENSLAND PTY LTD,ROTHERY'S BUS SERVICE,Australian Private Company,Buderim,Sunshine Coast,Sunshine Coast,QLD,4556,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,80,95,80,90,75
38169031994,169031994,CRISP COACHES & BUS LINES NSW PTY LTD,,Australian Private Company,Amiens,Tenterfield,Darling Downs - Maranoa,QLD,4380,4610,Road Passenger Transport,bus_coach,ACT,12,100,65,60,80,95,80,90,75
70138664865,138664865,BRISBANE CHARTER BUS PTY LTD,BRISBANE MINI BUS CHARTER,Australian Private Company,Bowen Bridge,Brisbane,Brisbane Inner City,QLD,4006,4610,Road Passenger Transport,bus_coach,ACT,16,100,65,60,80,95,80,90,75
