abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
31637482903,637482903,AMANAT & NAINA PTY LTD,Harry's Beach Bistro,Australian Private Company,Aroona,Sunshine Coast,Sunshine Coast,QLD,4551,4511,Cafes and Restaurants,cafe_restaurant,ACT,6,45,75,90,55,90,60,80,60
35808356136,,VISHAL YADAV,GRAZEWAY CAFE,Individual/Sole Trader,Southern Lamington,Scenic Rim,Wide Bay,QLD,4211,4511,Cafes and Restaurants,cafe_restaurant,CAN,3,40,70,85,45,80,55,70,55
49165586147,,STACY LYNETTE GLEICH,Eliza's Eatery,Individual/Sole Trader,Yerra,Gympie,Wide Bay,QLD,4650,4511,Cafes and Restaurants,cafe_restaurant,CAN,3,40,70,85,45,80,55,70,55
39245634034,,The Trustee for Hobson Family Trust,Ground Yourself Cafe,Discretionary Trading Trust,Advancetown,Scenic Rim,Gold Coast,QLD,4211,4511,Cafes and Restaurants,cafe_restaurant,ACT,9,45,75,90,55,90,60,80,60
18214992741,,The trustee for GENR8 BUSINESS CONSULTING TRUST,GENER8 BUSINESS CONSULTING,Discretionary Trading Trust,Marcoola,Sunshine Coast,Sunshine Coast,QLD,4564,4511,Cafes and Restaurants,cafe_restaurant,ACT,18,45,75,90,55,90,60,80,60
86638851030,,The Trustee for WYNNUM TRUST,WYNNUM SUSHI AND SEAFOOD CAFE,Fixed Unit Trust,Cannon Hill,Brisbane,Brisbane Inner City,QLD,4170,4511,Cafes and Restaurants,cafe_restaurant,ACT,8,45,75,90,55,90,60,80,60
82671690663,671690663,THL COMPANY PTY LTD,Nyna's Cafe,Australian Private Company,Augustine Heights,Ipswich,Ipswich,QLD,4300,4511,Cafes and Restaurants,cafe_restaurant,ACT,2,45,75,90,55,90,60,80,60
18605969864,605969864,LKL.CAFE PTY LTD,COLOUR COFFEE HOUSE,Australian Private Company,Ascot,,Brisbane Inner City,QLD,4007,4511,Cafes and Restaurants,cafe_restaurant,ACT,10,45,75,90,55,90,60,80,60
51655869631,655869631,BRYDA HOLDINGS PTY LTD,Clock and Bull Brewhouse,Australian Private Company,Amiens,Goondiwindi,Toowoomba,QLD,4352,4511,Cafes and Restaurants,cafe_restaurant,ACT,4,45,75,90,55,90,60,80,60
18168893314,,The Trustee for the CDC Bundaberg Unit Trust,BLACK BEAR BREWERY & CAFE,Fixed Unit Trust,Albion,Brisbane,Brisbane Inner City,QLD,4010,4511,Cafes and Restaurants,cafe_restaurant,NON,2,40,70,85,50,85,55,75,55
17606193328,606193328,RAINDOZA PTY LTD,Jam Jar Cafe,Australian Private Company,Booral,,Wide Bay,QLD,4655,4511,Cafes and Restaurants,cafe_restaurant,ACT,9,45,75,90,55,90,60,80,60
86912524606,,ISOBEL LOUISE PHILIPPI,Narrow Path Cafe,Individual/Sole Trader,Woongarra,,Wide Bay,QLD,4670,4511,Cafes and Restaurants,cafe_restaurant,NON,0,40,70,85,45,80,55,70,55
73842945396,,M.D DENHAM & R LA SPINA,ROSSANA LA SPINA & MARK DENHAM,Family Partnership,Diamond Valley,Sunshine Coast,Sunshine Coast,QLD,4553,4511,Cafes and Restaurants,cafe_restaurant,CAN,19,40,70,85,50,85,55,75,55
76783683963,,The Trustee for D & D Investment Trust,LIL-EGO CAFE,Discretionary Trading Trust,Burnside,Gold Coast,Gold Coast,QLD,4208,4511,Cafes and Restaurants,cafe_restaurant,ACT,3,45,75,90,55,90,60,80,60
81616206878,616206878,DENNETT ENTERPRISES PTY LTD,Fiddle Leaf Cafe,Australian Private Company,Currajong,Townsville,Townsville,QLD,4812,4511,Cafes and Restaurants,cafe_restaurant,CAN,9,40,70,85,50,85,55,75,55
31694181283,694181283,KAAS QLD PTY LTD,Glen's Diner,Australian Private Company,Allandale,Scenic Rim,Ipswich,QLD,4310,4511,Cafes and Restaurants,cafe_restaurant,ACT,0,45,75,90,55,90,60,80,60
18161408627,,NICOLE STREIL,ESKCAPE CAFE,Individual/Sole Trader,Somerset Dam,Somerset,Wide Bay,QLD,4312,4511,Cafes and Restaurants,cafe_restaurant,CAN,2,40,70,85,45,80,55,70,55
78516102092,,EMANUEL POLLICINO,That's Amore - Italian Cafe,Individual/Sole Trader,Wondunna,,Wide Bay,QLD,4655,4511,Cafes and Restaurants,cafe_restaurant,ACT,1,45,75,90,50,85,60,75,60
21045675565,,The Trustee for Poona Palms Trust,Tides Out Cafe,Discretionary Trading Trust,Aldershot,Gympie,Wide Bay,QLD,4650,4511,Cafes and Restaurants,cafe_restaurant,ACT,21,45,75,90,55,90,60,80,60
35584816154,,J KIM & M.J MCLARY,SCATTER BEAN CAFE,Other Partnership,Chelmer,Brisbane,Brisbane Inner City,QLD,4068,4511,Cafes and Restaurants,cafe_restaurant,ACT,6,45,75,90,55,90,60,80,60
19511377011,,K CALAYAG & R.L ERRINGTON,Kanga Brew Cafe,Other Partnership,Alberton,Gold Coast,Logan - Beaudesert,QLD,4207,4511,Cafes and Restaurants,cafe_restaurant,NON,0,40,70,85,50,85,55,75,55
88611351252,611351252,CAFE 8848 PTY LTD,,Australian Private Company,Castaways Beach,Noosa,Sunshine Coast,QLD,4567,4511,Cafes and Restaurants,cafe_restaurant,CAN,10,40,70,85,50,85,55,75,55
19441669712,,MAOR ARJUAN,ILAN CAFE,Individual/Sole Trader,Alexandra Headland,Sunshine Coast,Sunshine Coast,QLD,4572,4511,Cafes and Restaurants,cafe_restaurant,CAN,9,40,70,85,45,80,55,70,55
98687817036,687817036,ROHGI PTY LTD,Bajool Country Hotel,Australian Private Company,Bajool,Rockhampton,Fitzroy,QLD,4699,4511,Cafes and Restaurants,cafe_restaurant,ACT,0,45,75,90,55,90,60,80,60
41676622585,676622585,RED HAMMER MINING QLD PTY LTD,Red Rocket Diner Qld,Australian Private Company,Cambooya,Toowoomba,Toowoomba,QLD,4358,4511,Cafes and Restaurants,cafe_restaurant,ACT,2,45,75,90,55,90,60,80,60
