abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
95544198050,,DAVID JOHN WELLS,DAVID WELLS,Individual/Sole Trader,Glass House Mountains,Sunshine Coast,Wide Bay,QLD,4518,3109,Heavy & Civil Engineering,civil_contractors,CAN,3,95,60,65,100,95,100,90,85
18561808896,,THOMAS JORDON BURKE,TJ Burke Contracting,Individual/Sole Trader,Warburton,Burke,Townsville,QLD,4823,3109,Heavy & Civil Engineering,civil_contractors,ACT,19,95,60,65,100,95,100,90,85
32665139542,665139542,CMFLAMBERT CONTRACTORS PTY LTD,,Australian Private Company,Chambers Flat,Logan,Logan - Beaudesert,QLD,4133,3109,Heavy & Civil Engineering,civil_contractors,ACT,3,95,60,65,100,100,100,95,85
40100443638,,The Trustee for Neill Contracting Trust,,Discretionary Trading Trust,Noorindoo,Maranoa,Darling Downs - Maranoa,QLD,4417,3109,Heavy & Civil Engineering,civil_contractors,ACT,12,95,60,65,100,100,100,95,85
11687252400,687252400,STELLA CONTRACTING GROUP PTY LTD,,Australian Private Company,Flagstone,Logan,Logan - Beaudesert,QLD,4280,3109,Heavy & Civil Engineering,civil_contractors,ACT,1,95,60,65,100,100,100,95,85
43729680267,,DARCY BROOM,Broom contracting,Individual/Sole Trader,Redbank Plains,Ipswich,Sunshine Coast,QLD,4301,3109,Heavy & Civil Engineering,civil_contractors,NON,14,95,60,65,100,95,100,90,85
80151372093,151372093,TMP CIVIL SERVICES PTY LTD,,Australian Private Company,Aitkenvale,Townsville,Townsville,QLD,4814,3109,Heavy & Civil Engineering,civil_contractors,ACT,14,95,60,65,100,100,100,95,85
51662038995,662038995,RDS AG CONTRACTING PTY LTD,,Australian Private Company,Emerald,Central Highlands (Qld),Fitzroy,QLD,4720,3109,Heavy & Civil Engineering,civil_contractors,ACT,3,95,60,65,100,100,100,95,85
12010469431,010469431,"JOHN GREEN & ASSOCIATES, CIVIL ENGINEERS PTY. LTD.",John Green & Associates Civil Engineers,Australian Private Company,Highgate Hill,Brisbane,Brisbane Inner City,QLD,4101,3109,Heavy & Civil Engineering,civil_contractors,ACT,23,95,60,65,100,100,100,95,85
42787150049,,LUKE CRAIG BATCHELOR,LB ELITE CONTRACTING,Individual/Sole Trader,Sheldon,Redland,Sunshine Coast,QLD,4157,3109,Heavy & Civil Engineering,civil_contractors,NON,1,95,60,65,100,95,100,90,85
