abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
80687093689,687093689,SMITHCORE CLEANING SOLUTIONS PTY LTD,,Australian Private Company,Mount Cotton,Redland,Brisbane - East,QLD,4165,7322,Building Cleaning Services,cleaning_restoration,ACT,1,70,85,80,55,80,85,90,70
26302983827,,CRAIG ANDREW HUNTER,MRC CLEANING SERVICE,Individual/Sole Trader,Yandilla,Goondiwindi,Wide Bay,QLD,4352,7322,Building Cleaning Services,cleaning_restoration,CAN,9,70,85,80,50,75,85,85,70
38544181324,,The Trustee for Virk Cleaning Services Trust,,Discretionary Trading Trust,Munruben,Logan,Logan - Beaudesert,QLD,4125,7322,Building Cleaning Services,cleaning_restoration,ACT,8,70,85,80,55,80,85,90,70
67635068049,635068049,PARAMOUNT CONTRACT CLEANING PTY LTD,,Australian Private Company,Blackstone,Ipswich,Ipswich,QLD,4304,7322,Building Cleaning Services,cleaning_restoration,CAN,6,70,85,80,55,80,85,90,70
98768493970,,SAYED ALI MOSAWI,Professional Carpet Cleaning QLD,Individual/Sole Trader,Runcorn,Brisbane,Sunshine Coast,QLD,4113,7322,Building Cleaning Services,cleaning_restoration,NON,2,70,85,80,50,75,85,85,70
94766034501,,J.M LEWINGTON & M.A LEWINGTON,Swift Cleaning Services Northside,Family Partnership,Nundah,Brisbane,Brisbane Inner City,QLD,4012,7322,Building Cleaning Services,cleaning_restoration,ACT,12,70,85,80,55,80,85,90,70
74152261171,,GIBSON BILLY,GIBOS CLEANING SERVICES,Individual/Sole Trader,Yarrawonga,Townsville,Wide Bay,QLD,4810,7322,Building Cleaning Services,cleaning_restoration,ACT,6,70,85,80,50,75,85,85,70
56965570605,,ANGELA IERVESE,ANGELA'S CLEANING SERVICES,Individual/Sole Trader,Silverbark Ridge,Ipswich,Wide Bay,QLD,4124,7322,Building Cleaning Services,cleaning_restoration,NON,1,70,85,80,50,75,85,85,70
13682436639,682436639,A.C.N. 682 436 639 PTY LTD,ECOSTEAM BOND CLEANING,Australian Private Company,Altandi,Brisbane,Brisbane - South,QLD,4109,7322,Building Cleaning Services,cleaning_restoration,NON,1,70,85,80,55,80,85,90,70
46430543149,,YINPING SUN,Sun cleaning services,Individual/Sole Trader,Wishart,Brisbane,Sunshine Coast,QLD,4122,7322,Building Cleaning Services,cleaning_restoration,NON,1,70,85,80,50,75,85,85,70
