abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
67110538908,,J DRAPES & BJG CONSULTING PTY LTD ATF GREANEY TRADING TRUST,Chimera Project,Other Partnership,Brookside Centre,Moreton Bay,Moreton Bay - South,QLD,4053,6960,Management and Related Consulting Services,consulting,ACT,6,45,90,95,40,80,25,85,85
12603957786,603957786,THE MOVEMENT ADVISORY PTY LIMITED,,Australian Private Company,Munna Point,Noosa,Sunshine Coast,QLD,4566,6960,Management and Related Consulting Services,consulting,ACT,11,45,90,95,40,80,25,85,85
33674269062,674269062,STEWART KIELY CONSULTING PTY LTD,,Australian Private Company,Aldershot,Gympie,Wide Bay,QLD,4650,6960,Management and Related Consulting Services,consulting,ACT,2,45,90,95,40,80,25,85,85
83603688348,603688348,IARA SUPPORT SERVICES PTY LTD,Care Navigation,Australian Private Company,Aeroglen,Cairns,Cairns,QLD,4870,6960,Management and Related Consulting Services,consulting,ACT,11,45,90,95,40,80,25,85,85
13126486556,,The Trustee for Cirqle Group Trust,Cirqle Consulting,Discretionary Trading Trust,Bowen Bridge,Brisbane,Brisbane Inner City,QLD,4006,6960,Management and Related Consulting Services,consulting,ACT,4,45,90,95,40,80,25,85,85
49512927145,,KAY PATRICIA GORDON,KAY ERICKSEN CONSULTING,Individual/Sole Trader,Yakapari,Mackay,Wide Bay,QLD,4740,6960,Management and Related Consulting Services,consulting,NON,25,40,85,90,30,70,20,75,80
26602121844,602121844,J. MANSFIELD CONSULTING PTY LTD,,Australian Private Company,Basin Pocket,Scenic Rim,Ipswich,QLD,4305,6960,Management and Related Consulting Services,consulting,ACT,11,45,90,95,40,80,25,85,85
64648388961,648388961,TECH SERVICE LAB CONSULTING PTY LTD,TECH SERVICE LAB CONSULTING,Australian Private Company,Brisbane,Brisbane,Brisbane Inner City,QLD,4000,6960,Management and Related Consulting Services,consulting,ACT,5,45,90,95,40,80,25,85,85
90620155151,620155151,CLMT ADVISORY SERVICES PTY LTD,,Australian Private Company,Castaways Beach,Noosa,Sunshine Coast,QLD,4567,6960,Management and Related Consulting Services,consulting,CAN,8,40,85,90,35,75,20,80,80
41672127436,672127436,LITE CONSULTING PTY LTD,,Australian Private Company,New Farm,Brisbane,Brisbane Inner City,QLD,4005,6960,Management and Related Consulting Services,consulting,NON,2,40,85,90,35,75,20,80,80
