abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
66573687406,,The Trustee for Brisbane Braces Trust,Invisible orthodontics,Discretionary Trading Trust,Jamboree Heights,Brisbane,Ipswich,QLD,4074,8530,Dental Services,dental,ACT,6,35,90,85,45,90,65,75,80
42013664594,,LISA JILL GAZZARD,LG Dental,Individual/Sole Trader,Currumbin Waters,Gold Coast,Wide Bay,QLD,4223,8530,Dental Services,dental,ACT,16,35,90,85,40,85,65,70,80
48584834961,,The Trustee for Dental Implant & Specialist Centre Trust,,Discretionary Trading Trust,Australia Fair,Gold Coast,Gold Coast,QLD,4215,8530,Dental Services,dental,ACT,10,35,90,85,45,90,65,75,80
88667327657,667327657,JNT DENTAL PTY LTD,,Australian Private Company,Jamboree Heights,Brisbane,Ipswich,QLD,4074,8530,Dental Services,dental,ACT,3,35,90,85,45,90,65,75,80
99738183909,,The Trustee for NIKESH PATEL INVESTMENTS TRUST,Mitchelton Family Dental,Discretionary Trading Trust,Clayfield,Brisbane,Brisbane Inner City,QLD,4011,8530,Dental Services,dental,ACT,9,35,90,85,45,90,65,75,80
57642269789,642269789,CORE DENTAL LABORATORY PTY LTD,Core Dental Laboratory,Australian Private Company,Mansfield,Brisbane,Brisbane - South,QLD,4122,8530,Dental Services,dental,ACT,4,35,90,85,45,90,65,75,80
84758437390,,The Trustee for Cosgrave Dental Trust,,Discretionary Services Management Trust,Arundel,Gold Coast,Gold Coast,QLD,4214,8530,Dental Services,dental,ACT,1,35,90,85,45,90,65,75,80
19098301403,098301403,DANIEL CHANG DENTAL PTY. LTD.,GRACEDAYS DENTAL CENTRE,Australian Private Company,Altandi,Brisbane,Brisbane - South,QLD,4109,8530,Dental Services,dental,ACT,24,35,90,85,45,90,65,75,80
69676771314,676771314,OASIS DENTAL BRIGHTON PTY LTD,,Australian Private Company,Broadbeach,Gold Coast,Gold Coast,QLD,4218,8530,Dental Services,dental,ACT,2,35,90,85,45,90,65,75,80
56620825327,620825327,TWINKLE SMILES DENTAL PTY LTD,,Australian Private Company,Calamvale,Brisbane,Brisbane - South,QLD,4116,8530,Dental Services,dental,ACT,8,35,90,85,45,90,65,75,80
