abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
88011014038,011014038,KEENCURL PTY. LTD.,G & J EARTHMOVING,Australian Private Company,Armstrong Creek,Brisbane,Moreton Bay - South,QLD,4520,3101,Site Preparation,earthmoving_excavation,ACT,26,100,50,60,100,95,100,85,80
91176315849,,WARREN FROST,Frosty's Earthmoving and Working Dogs,Individual/Sole Trader,Wieambilla,Western Downs,Wide Bay,QLD,4413,3101,Site Preparation,earthmoving_excavation,ACT,13,100,50,60,100,90,100,80,80
60164303664,164303664,JAYCAT EARTHMOVING PTY LTD,JAYCAT EARTHMOVING,Australian Private Company,Abergowrie,,Townsville,QLD,4850,3101,Site Preparation,earthmoving_excavation,ACT,12,100,50,60,100,95,100,85,80
17895261058,,THE TRUSTEE FOR THE KENT MCKENZIE TRUST,KJ'S PLANT HIRE,Discretionary Services Management Trust,Alberton,Gold Coast,Logan - Beaudesert,QLD,4207,3101,Site Preparation,earthmoving_excavation,CAN,23,100,50,60,100,95,100,85,80
96526485660,,The trustee for The Knight Family Trust,Town & Counrty Bobcat & Tipper,Discretionary Trading Trust,Diamond Valley,Sunshine Coast,Sunshine Coast,QLD,4553,3101,Site Preparation,earthmoving_excavation,ACT,19,100,50,60,100,95,100,85,80
41966935355,,DANIEL GRAHAM SMITH,Dan Smith,Individual/Sole Trader,Yakapari,Mackay,Wide Bay,QLD,4740,3101,Site Preparation,earthmoving_excavation,ACT,3,100,50,60,100,90,100,80,80
37072022766,,KASSIE NORTHCOTT,1St Choice Bobcat and Tipper Hire,Individual/Sole Trader,Tamborine Village,Logan,Wide Bay,QLD,4270,3101,Site Preparation,earthmoving_excavation,ACT,5,100,50,60,100,90,100,80,80
65662386996,662386996,NITA PLANT HIRE PTY LTD,,Australian Private Company,Narangba,Moreton Bay,Moreton Bay - North,QLD,4504,3101,Site Preparation,earthmoving_excavation,ACT,3,100,50,60,100,95,100,85,80
80458572170,,The Trustee for P & K Chambers Family Trust,Diggin Deep Earthmoving,Discretionary Trading Trust,Frenchs Forest,Moreton Bay,Moreton Bay - South,QLD,4502,3101,Site Preparation,earthmoving_excavation,ACT,8,100,50,60,100,95,100,85,80
95272560958,,The Trustee for Tindal Family Trust,TINDAL EARTHMOVING,Discretionary Trading Trust,Deception Bay,Moreton Bay,Moreton Bay - North,QLD,4508,3101,Site Preparation,earthmoving_excavation,ACT,13,100,50,60,100,95,100,85,80
