abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
91310944998,,BENJAMIN ERIC DUNLAVIE,Ben Dunlavie Electrical,Individual/Sole Trader,Robina Dc,Gold Coast,Sunshine Coast,QLD,4226,3421,Electrical Services,electrical,ACT,3,75,90,80,50,85,90,90,100
35073948964,073948964,KINSELA ELECTRICAL PTY. LTD.,,Australian Private Company,Bray Park,Moreton Bay,Moreton Bay - South,QLD,4500,3421,Electrical Services,electrical,NON,26,75,90,80,55,90,90,95,100
47691209891,691209891,ONECALL HOME AND ELECTRICAL PTY LTD,,Australian Private Company,Ingleside,Gold Coast,Gold Coast,QLD,4228,3421,Electrical Services,electrical,ACT,0,75,90,80,55,90,90,95,100
58672206450,672206450,TOPP ELECTRICAL PTY LTD,,Australian Private Company,Athol,Toowoomba,Toowoomba,QLD,4350,3421,Electrical Services,electrical,ACT,2,75,90,80,55,90,90,95,100
72638178051,638178051,NEWMAN ELECTRICAL PTY LTD,,Australian Private Company,Ingleside,Gold Coast,Gold Coast,QLD,4228,3421,Electrical Services,electrical,ACT,6,75,90,80,55,90,90,95,100
52523148494,,The trustee for Monteal Electrical Trust,Monteal Electrical,Discretionary Trading Trust,Carpendale,Lockyer Valley,Toowoomba,QLD,4344,3421,Electrical Services,electrical,ACT,17,75,90,80,55,90,90,95,100
93115395698,115395698,TRIDIGITAL COMMERCE PTY LIMITED,AllyRon Lending,Australian Private Company,Aroona,Sunshine Coast,Sunshine Coast,QLD,4551,3421,Electrical Services,electrical,ACT,20,75,90,80,55,90,90,95,100
23601338997,,R & M NEWPORT,NEWPORT ELECTRICAL,Family Partnership,Armstrong Beach,Isaac,Mackay,QLD,4737,3421,Electrical Services,electrical,ACT,26,75,90,80,55,90,90,95,100
86825790508,,PETRUS CASPER SNYDERS,PCS ELECTRICAL,Individual/Sole Trader,Yakapari,Mackay,Wide Bay,QLD,4740,3421,Electrical Services,electrical,CAN,19,75,90,80,50,85,90,90,100
43686395174,,The Trustee for M J L Carswell Family Trust,Cooloola Coast Electrical Pty Ltd,Discretionary Trading Trust,Amamoor,Fraser Coast,Wide Bay,QLD,4570,3421,Electrical Services,electrical,ACT,17,75,90,80,55,90,90,95,100
