abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
57623335964,623335964,CONTOUR GLASS TINTING PTY LTD,,Australian Private Company,Canowindra,Gold Coast,Gold Coast,QLD,4209,3433,Glazing Services,glaziers,ACT,8,60,60,75,55,80,80,75,65
83558200952,,EMMA PATRICIA GARDINER,SUNSPUN GLASS,Individual/Sole Trader,Wurdong Heights,,Wide Bay,QLD,4680,3433,Glazing Services,glaziers,NON,0,60,60,75,50,75,80,70,65
74634403811,634403811,PORTERS GLASS & ALUMINIUM (QLD) PTY LTD,PORTERS GLASS & ALUMINIUM,Australian Private Company,Alexandra,Mackay,Mackay,QLD,4740,3433,Glazing Services,glaziers,ACT,6,60,60,75,55,80,80,75,65
59657864972,,The Trustee for Glass Pepper Trust,,Discretionary Trading Trust,Camp Hill,Brisbane,Brisbane Inner City,QLD,4152,3433,Glazing Services,glaziers,ACT,0,60,60,75,55,80,80,75,65
16514060699,,THE HEADLAND GLASS TRUST,HEADLAND GLASS PTY LTD,Discretionary Trading Trust,Alexandra Headland,Sunshine Coast,Sunshine Coast,QLD,4572,3433,Glazing Services,glaziers,ACT,26,60,60,75,55,80,80,75,65
21397767656,,The trustee for Jadach Trust,Doctor Glass Repairs,Discretionary Trading Trust,Birtinya,Sunshine Coast,Sunshine Coast,QLD,4575,3433,Glazing Services,glaziers,ACT,20,60,60,75,55,80,80,75,65
68528452344,,BRYCE CONROY CHARLTON,HIGH TIDE GLAZING,Individual/Sole Trader,Sheldon,Redland,Sunshine Coast,QLD,4157,3433,Glazing Services,glaziers,ACT,8,60,60,75,50,75,80,70,65
28766273430,,Glass House Districts Athletics Incorporated,,Other Incorporated Entity,Glass House Mountains,Sunshine Coast,Sunshine Coast,QLD,4518,3433,Glazing Services,glaziers,NON,17,60,60,75,50,75,80,70,65
94135309483,135309483,Brisbane Glass Splashbacks Pty Ltd,Brisbane Splashbacks,Australian Private Company,Mount Cotton,Redland,Brisbane - East,QLD,4165,3433,Glazing Services,glaziers,NON,17,60,60,75,55,80,80,75,65
17640927322,640927322,VIBE GLASS & ALUMINIUM PTY LTD,,Australian Private Company,Advancetown,Scenic Rim,Gold Coast,QLD,4211,3433,Glazing Services,glaziers,CAN,6,60,60,75,55,80,80,75,65
