abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
96678312028,678312028,JSK AIR CONDITIONING & MECHANICAL SERVICES PTY LTD,,Australian Private Company,Moorina,Moreton Bay,Moreton Bay - North,QLD,4506,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,1,80,90,80,65,90,90,95,100
15156072258,156072258,COLD FRONT AIR CONDITIONING QLD/NSW PTY. LTD.,COLD FRONT AIR CONDITIONING QLD/NSW,Australian Private Company,Burleigh Bc,Gold Coast,Gold Coast,QLD,4220,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,14,80,90,80,65,90,90,95,100
55138403573,,JACK WILLIAM FLETCHER,FLETCHER A.R.E,Individual/Sole Trader,Twin Waters,Sunshine Coast,Sunshine Coast,QLD,4564,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,NON,2,80,90,80,60,85,90,90,100
72666726512,666726512,BRENNAN'S REFRIGERATION & AIRCONDITIONING PTY LTD,,Australian Private Company,Emerald,Central Highlands (Qld),Fitzroy,QLD,4720,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,3,80,90,80,65,90,90,95,100
97688397882,688397882,ICE COLD REFRIGERATION & AIR CONDITIONING PTY LTD,,Australian Private Company,Chevallum,Sunshine Coast,Sunshine Coast,QLD,4555,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,0,80,90,80,65,90,90,95,100
69748064975,,D RACITI & S RACITI,PLATINUM HVAC CONSULTING SERVICES,Family Partnership,Condon,Townsville,Townsville,QLD,4815,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,16,80,90,80,65,90,90,95,100
91458753972,,BRADLEY JOHN FORBES,COOL FX AIRCONDITIONING,Individual/Sole Trader,Wongawallan,Gold Coast,Sunshine Coast,QLD,4210,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,NON,12,80,90,80,60,85,90,90,100
18326379081,,The Trustee for Fleay Family Trust,Air Man Air Conditioning Installations,Discretionary Trading Trust,Buderim,Sunshine Coast,Sunshine Coast,QLD,4556,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,10,80,90,80,65,90,90,95,100
97660497772,660497772,BENNETT AIR CONDITIONING PTY LTD,,Australian Private Company,Glen Kedron,Brisbane,Brisbane Inner City,QLD,4031,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,3,80,90,80,65,90,90,95,100
42685874426,685874426,SPARTA TRANSPORT PTY LTD,W&D Airconditioning & Refrigeration Specialist,Australian Private Company,Flagstone,Logan,Logan - Beaudesert,QLD,4280,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,NON,1,80,90,80,65,90,90,95,100
