abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
78561139717,,JOHN PATRICK HYNES,Jacko's Lawn Service,Individual/Sole Trader,Yabulu,Townsville,Wide Bay,QLD,4818,3523,Landscape Construction,landscaping,NON,10,80,70,80,90,70,90,75,65
85992459068,,CHRISTOPHER CURR,FULL THROTTLE LAWN & GARDEN,Individual/Sole Trader,Wrights Creek,Cairns,Wide Bay,QLD,4869,3523,Landscape Construction,landscaping,ACT,5,80,70,80,90,70,90,75,65
46739660750,,JANAYA GUERIN,YOUNG BUDS GARDENING AND MAINTENANCE,Individual/Sole Trader,Pomona,Noosa,Wide Bay,QLD,4568,3523,Landscape Construction,landscaping,NON,2,80,70,80,90,70,90,75,65
73073383302,,GAVIN THOMAS WADSWORTH,HAVEN LAWN CARE,Individual/Sole Trader,Cashs Crossing,Brisbane,Sunshine Coast,QLD,4035,3523,Landscape Construction,landscaping,NON,1,80,70,80,90,70,90,75,65
74943661104,,BRODIE NORMAN FLEMING,lawn & landscape,Individual/Sole Trader,Mount Mellum,Sunshine Coast,Wide Bay,QLD,4550,3523,Landscape Construction,landscaping,ACT,8,80,70,80,90,70,90,75,65
29639331578,,The Trustee for Keogh Trust,DRIVEN MEDIA WORKS,Discretionary Trading Trust,Booral,,Wide Bay,QLD,4655,3523,Landscape Construction,landscaping,ACT,4,80,70,80,95,75,90,80,65
28674833679,674833679,LAWN & LEAF PTY LTD,above expectation lawn & garden maintenance,Australian Private Company,Brookside Centre,Moreton Bay,Moreton Bay - South,QLD,4053,3523,Landscape Construction,landscaping,ACT,2,80,70,80,95,75,90,80,65
56128266546,,MATTHEW CUTLER,Cutlers Lawn & Garden Maintenance,Individual/Sole Trader,Wattle Grove,South Burnett,Wide Bay,QLD,4610,3523,Landscape Construction,landscaping,NON,3,80,70,80,90,70,90,75,65
20801712530,,TREVOR STEPHEN BRANN,JAMES HOME SERVICES LAWN & GARDEN CARE MERINGANDEN/HIGHFIELDS,Individual/Sole Trader,Yandilla,Goondiwindi,Wide Bay,QLD,4352,3523,Landscape Construction,landscaping,ACT,3,80,70,80,90,70,90,75,65
67281033519,,NEAL W D & H J,HEATHER AND WARREN'S LAWN CARE,Family Partnership,Burleigh Bc,Gold Coast,Gold Coast,QLD,4220,3523,Landscape Construction,landscaping,NON,26,80,70,80,95,75,90,80,65
