abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
71614058276,614058276,OPTIMUM LEGAL SOLUTIONS PTY LTD,OPTIMUM COMPENSATION LAWYERS,Australian Private Company,Brisbane,Brisbane,Brisbane Inner City,QLD,4000,6910,Legal Services,legal,ACT,9,30,95,85,25,85,20,75,75
70614557685,614557685,SIMPSON FAMILY LAWYERS PTY LTD,,Australian Private Company,Australia Fair,Gold Coast,Gold Coast,QLD,4215,6910,Legal Services,legal,ACT,9,30,95,85,25,85,20,75,75
90134283131,134283131,REARDON FAMILY LAWYERS PTY LIMITED,REARDON FAMILY LAWYERS,Australian Private Company,Arundel,Gold Coast,Gold Coast,QLD,4214,6910,Legal Services,legal,ACT,17,30,95,85,25,85,20,75,75
64210468082,,ADOLF JACOBUS VAN ZYL,VAN ZYL LAWYERS,Individual/Sole Trader,Sunnybank South,Brisbane,Sunshine Coast,QLD,4109,6910,Legal Services,legal,ACT,25,30,95,85,20,80,20,70,75
45691166579,691166579,ADAMSON LAWYERS PTY LTD,,Australian Private Company,Benowa,Gold Coast,Gold Coast,QLD,4217,6910,Legal Services,legal,NON,0,25,90,80,20,80,15,70,70
40400536802,,The trustee for Gleeson Lawyers Unit Trust,,Fixed Unit Trust,Brisbane,Brisbane,Brisbane Inner City,QLD,4000,6910,Legal Services,legal,CAN,19,25,90,80,20,80,15,70,70
92654247865,,The Trustee for The Margaret Mary Kruger Legal Trust,RYAN KRUGER LAWYERS,Discretionary Investment Trust,Lindum,Redland,Brisbane - East,QLD,4178,6910,Legal Services,legal,ACT,21,30,95,85,25,85,20,75,75
85625409690,625409690,O'REILLY STEVENS LAWYERS PTY LTD,,Australian Private Company,Aeroglen,Cairns,Cairns,QLD,4870,6910,Legal Services,legal,ACT,7,30,95,85,25,85,20,75,75
30648537848,648537848,PASSAGE MIGRATION CONSULTING PTY LTD,DIARY OF A MIGRATION LAWYER,Australian Private Company,Highgate Hill,Brisbane,Brisbane Inner City,QLD,4101,6910,Legal Services,legal,CAN,5,25,90,80,20,80,15,70,70
42150838154,150838154,JKR LAWYERS PTY LTD,JKR LAWYERS,Australian Private Company,Brisbane,Brisbane,Brisbane Inner City,QLD,4000,6910,Legal Services,legal,ACT,15,30,95,85,25,85,20,75,75
