abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
37147174070,147174070,ROSSLEA MEDICAL CENTRE PTY LTD,AT EASE COMMUNITY NURSING,Australian Private Company,Currajong,Townsville,Townsville,QLD,4812,8511,General Practice Medical Services,medical,ACT,15,35,90,80,45,90,65,75,80
95678284127,678284127,MAHI MEDICAL CENTRE PTY LTD,,Australian Private Company,Booral,,Wide Bay,QLD,4655,8511,General Practice Medical Services,medical,NON,1,30,85,75,40,85,60,70,75
83625764472,625764472,WILSON LAWRENCE PALMER PTY LTD,Noosa Outlook Medical Centre,Australian Private Company,Castaways Beach,Noosa,Sunshine Coast,QLD,4567,8511,General Practice Medical Services,medical,ACT,8,35,90,80,45,90,65,75,80
44658261788,,The trustee for 19th Avenue Veterinary Trust,PET DOCTORS PALM BEACH,Discretionary Trading Trust,Elanora,Gold Coast,Gold Coast,QLD,4221,8511,General Practice Medical Services,medical,CAN,19,30,85,75,40,85,60,70,75
95432017391,,MATHEW GRAHAM DAVIS,Doctor Mathew Davis,Individual/Sole Trader,Alexandra Headland,Sunshine Coast,Sunshine Coast,QLD,4572,8511,General Practice Medical Services,medical,ACT,14,35,90,80,40,85,65,70,80
18633745936,633745936,HENDERSON FURNITURE PTY LTD,HENDERSON FURNITURE CO,Australian Private Company,Black Mountain,Gympie,Wide Bay,QLD,4563,8511,General Practice Medical Services,medical,ACT,6,35,90,80,45,90,65,75,80
85616177747,616177747,ECARZ PTY. LTD.,BEST HOME LOANS AUSTRALIA,Australian Private Company,Murarrie,Brisbane,Brisbane Inner City,QLD,4172,8511,General Practice Medical Services,medical,ACT,9,35,90,80,45,90,65,75,80
35120375626,120375626,Morningside General Practice Clinic Pty Ltd,,Australian Private Company,Cannon Hill,Brisbane,Brisbane Inner City,QLD,4170,8511,General Practice Medical Services,medical,ACT,19,35,90,80,45,90,65,75,80
72870177473,,The Trustee for KILN DOCTORS UNIT TRUST,AUSTRALIAN KILN & MILL SERVICES PTY LTD,Fixed Unit Trust,Bentley Park,Cairns,Cairns,QLD,4869,8511,General Practice Medical Services,medical,ACT,26,35,90,80,45,90,65,75,80
64138433751,,The Trustee for Robina Doctors Trust,,Discretionary Services Management Trust,Broadbeach,Gold Coast,Gold Coast,QLD,4218,8511,General Practice Medical Services,medical,ACT,3,35,90,80,45,90,65,75,80
