abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
41107090325,,THANH DOAN NGUYEN,DT PAINTING,Individual/Sole Trader,Serviceton,Brisbane,Sunshine Coast,QLD,4077,3432,Painting & Decorating,painting,ACT,26,55,60,85,45,70,80,70,65
54667844242,667844242,H&N SON PAINTING PTY LTD,,Australian Private Company,Underwood,Logan,Logan - Beaudesert,QLD,4119,3432,Painting & Decorating,painting,ACT,3,55,60,85,50,75,80,75,65
68761506467,,JAMIE HIGGINS,Jamie Higgins Painter & Decorator,Individual/Sole Trader,Warner,Moreton Bay,Sunshine Coast,QLD,4500,3432,Painting & Decorating,painting,CAN,20,55,60,85,45,70,80,70,65
79259279419,,TRISTAN JOHN PAINTER,Painter Bulk Haulage,Individual/Sole Trader,Eatons Hill,Moreton Bay,Sunshine Coast,QLD,4037,3432,Painting & Decorating,painting,ACT,0,55,60,85,45,70,80,70,65
50790943812,,The Trustee for Prior Family Trust,AUS PRIORITY PAINTING,Discretionary Trading Trust,Clayfield,Brisbane,Brisbane Inner City,QLD,4011,3432,Painting & Decorating,painting,ACT,3,55,60,85,50,75,80,75,65
65641513199,641513199,YOUR CHOICE PAINTING & DECORATING PTY LTD,,Australian Private Company,Alberton,Gold Coast,Logan - Beaudesert,QLD,4207,3432,Painting & Decorating,painting,ACT,5,55,60,85,50,75,80,75,65
26762373292,,STEPHEN HELLIWELL,HELLIWELL'S PAINTING SERVICES,Individual/Sole Trader,Rothwell,Moreton Bay,Sunshine Coast,QLD,4022,3432,Painting & Decorating,painting,ACT,7,55,60,85,45,70,80,70,65
14290249855,,AARON STEVEN MORGAN,PAINTER AND DECORATOR,Individual/Sole Trader,Sovereign Islands,Gold Coast,Wide Bay,QLD,4216,3432,Painting & Decorating,painting,NON,26,55,60,85,45,70,80,70,65
91613570746,613570746,CABOOLTURE PAINTING AND DECORATING PTY. LTD.,,Australian Private Company,Balingool,Moreton Bay,Moreton Bay - North,QLD,4510,3432,Painting & Decorating,painting,ACT,9,55,60,85,50,75,80,75,65
33609765522,609765522,LNL PAINTING PTY LTD,LNL Painting,Australian Private Company,Booral,,Wide Bay,QLD,4655,3432,Painting & Decorating,painting,ACT,10,55,60,85,50,75,80,75,65
