abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
57539921489,,The Trustee for Shickn Family Trust,Best Environmentally Safe Treatment Available,Discretionary Trading Trust,Barmundu,,Fitzroy,QLD,4680,7320,Pest Control Services,pest_control,ACT,4,60,95,90,45,75,80,80,85
52711420364,,R J & D M CHAPPELOW FAMILY TRUST,A D PEST CONTROL,Discretionary Trading Trust,Buchan Point,Cairns,Cairns,QLD,4879,7320,Pest Control Services,pest_control,CAN,26,60,95,90,45,75,80,80,85
31987592071,,WADE MEDHURST,"Creepy Crawly Pest Control- Kingaroy, Nanango",Individual/Sole Trader,Wattle Grove,South Burnett,Wide Bay,QLD,4610,7320,Pest Control Services,pest_control,ACT,10,60,95,90,40,70,80,75,85
65201874316,,The Trustee for Gandus Family Trust,CALM CONNECTIONS COUNCELLING AND MEDIATION,Discretionary Trading Trust,Evans Landing,Aurukun,Queensland - Outback,QLD,4874,7320,Pest Control Services,pest_control,ACT,2,60,95,90,45,75,80,80,85
78650570246,650570246,BOMBS AWAY TERMITE & PEST SPECIALISTS PTY LTD,The Rectifiers Concrete Rectification Services,Australian Private Company,Clear Island Waters,Gold Coast,Gold Coast,QLD,4226,7320,Pest Control Services,pest_control,ACT,5,60,95,90,45,75,80,80,85
95326644545,,JASON ROBIN NEALE,BEST 1,Individual/Sole Trader,Wakerley,Brisbane,Sunshine Coast,QLD,4154,7320,Pest Control Services,pest_control,CAN,0,60,95,90,40,70,80,75,85
36160591418,,STEVEN ANDREW MCLOUGHLIN,Northside Pest Control Qld,Individual/Sole Trader,Deception Bay,Moreton Bay,Sunshine Coast,QLD,4508,7320,Pest Control Services,pest_control,ACT,17,60,95,90,40,70,80,75,85
95634022816,634022816,DE & LM TURNER PTY LTD,DEFIANT PEST SERVICES,Australian Private Company,Arriga,Mareeba,Queensland - Outback,QLD,4880,7320,Pest Control Services,pest_control,ACT,6,60,95,90,45,75,80,80,85
67166398447,166398447,PRE PEST PTY LTD,,Australian Private Company,Canowindra,Gold Coast,Gold Coast,QLD,4209,7320,Pest Control Services,pest_control,ACT,12,60,95,90,45,75,80,80,85
29466279576,,KENNETH & NGAIRE L BLAKEY,DIRECT PEST CONTROL CHARTER TOWERS,Family Partnership,Alabama Hill,Charters Towers,Townsville,QLD,4820,7320,Pest Control Services,pest_control,ACT,26,60,95,90,45,75,80,80,85
