abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
68611421259,611421259,EDGEWATER PLUMBING PTY LTD,,Australian Private Company,Anglers Paradise,Gold Coast,Gold Coast,QLD,4216,3411,Plumbing Services,plumbing,ACT,10,80,95,85,65,95,90,95,100
59623681660,,BRENT CORK,REDTAIL PLUMBING AND GAS FITTING,Individual/Sole Trader,Trinity Park,Cairns,Wide Bay,QLD,4879,3411,Plumbing Services,plumbing,ACT,0,80,95,85,60,90,90,90,100
44328897045,,BLAZE WHITE,TRUE NORTH PLUMBING SOLUTIONS,Individual/Sole Trader,Shelly Beach,Sunshine Coast,Sunshine Coast,QLD,4551,3411,Plumbing Services,plumbing,ACT,0,80,95,85,60,90,90,90,100
99830472339,,TRAVIS ALEXANDER REE,TALLBOY PLUMBING & GAS,Individual/Sole Trader,Rocklea Dc,Brisbane,Sunshine Coast,QLD,4106,3411,Plumbing Services,plumbing,NON,1,80,95,85,60,90,90,90,100
47296320916,,THE HOUSTON PLUMBING TRUST,,Discretionary Trading Trust,Alexandra,Mackay,Mackay,QLD,4740,3411,Plumbing Services,plumbing,ACT,26,80,95,85,65,95,90,95,100
17010824697,,THE TRUSTEE FOR A & M PRIZMIC FAMILY TRUST & THE TRUSTEE FOR PINO LAVALLE FAMILY TRUST,APL PLUMBING & TANKS,Other Partnership,Arriga,Mareeba,Queensland - Outback,QLD,4880,3411,Plumbing Services,plumbing,ACT,23,80,95,85,65,95,90,95,100
22151326046,151326046,PLUMBING SOLUTIONS QLD PTY LTD,,Australian Private Company,Burleigh Bc,Gold Coast,Gold Coast,QLD,4220,3411,Plumbing Services,plumbing,ACT,14,80,95,85,65,95,90,95,100
30639155543,639155543,DAMIEN SCHNEIDER PLUMBING SERVICES PTY LTD,,Australian Private Company,Alexandra,Mackay,Mackay,QLD,4740,3411,Plumbing Services,plumbing,ACT,6,80,95,85,65,95,90,95,100
62356030187,,JEREMY GLENN MILLER,JG MILLER PLUMBING,Individual/Sole Trader,Wongawallan,Gold Coast,Sunshine Coast,QLD,4210,3411,Plumbing Services,plumbing,CAN,2,80,95,85,60,90,90,90,100
59636509306,,JACK RAYMOND MOLLER,MOLLERS REFRIGERATION AND PLUMBING,Individual/Sole Trader,Wycombe,Maranoa,Wide Bay,QLD,4455,3411,Plumbing Services,plumbing,ACT,0,80,95,85,60,90,90,90,100
