abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
14512121588,,DARREN HUCKIN,DJH,Individual/Sole Trader,Shelly Beach,Sunshine Coast,Sunshine Coast,QLD,4551,3529,Other Construction,pool_services,ACT,8,70,90,90,50,70,75,70,75
30537490968,,The Trustee for MCCRACKEN FAMILY TRUST,AUSSIE OUTDOOR POOL SHOWERS,Discretionary Trading Trust,Northgate,Brisbane,Brisbane - North,QLD,4013,3529,Other Construction,pool_services,ACT,26,70,90,90,55,75,75,75,75
80783911791,,ALEX JAY MCLEAN,Diamond Pool Maintenance,Individual/Sole Trader,Southern Lamington,Scenic Rim,Wide Bay,QLD,4211,3529,Other Construction,pool_services,ACT,5,70,90,90,50,70,75,70,75
28139470189,139470189,AUSTRALASIAN POOL & SPA PRODUCTS PTY. LTD.,NEPTUNES POOL CARE,Australian Private Company,Dakabin,Moreton Bay,Moreton Bay - South,QLD,4503,3529,Other Construction,pool_services,ACT,16,70,90,90,55,75,75,75,75
58719271688,,ALTY CARL EVERETT,A.C.E PC SERVICES,Individual/Sole Trader,St Johns Wood,Brisbane,Sunshine Coast,QLD,4060,3529,Other Construction,pool_services,ACT,20,70,90,90,50,70,75,70,75
48695626356,,The Trustee for The Shields-Green Investment Trust,Pure Aqua Pool Care,Discretionary Trading Trust,Elanora,Gold Coast,Gold Coast,QLD,4221,3529,Other Construction,pool_services,ACT,10,70,90,90,55,75,75,75,75
30680099487,680099487,ALPHA POOL CARE PTY LTD,Pool Hub Australia,Australian Private Company,Reedy Creek,Gold Coast,Gold Coast,QLD,4227,3529,Other Construction,pool_services,ACT,1,70,90,90,55,75,75,75,75
18632620387,632620387,ACE SWIMMING POOL & SPA SERVICE PTY LTD,,Australian Private Company,Burnside,Gold Coast,Gold Coast,QLD,4208,3529,Other Construction,pool_services,ACT,7,70,90,90,55,75,75,75,75
37627229118,627229118,NORTH BRISBANE POOL CARE PTY LTD,,Australian Private Company,Moorina,Moreton Bay,Moreton Bay - North,QLD,4506,3529,Other Construction,pool_services,ACT,7,70,90,90,55,75,75,75,75
71873250021,,ADAM DAVID MATHIESON,Adam Mathieson,Individual/Sole Trader,Palmwoods,Sunshine Coast,Wide Bay,QLD,4555,3529,Other Construction,pool_services,ACT,12,70,90,90,50,70,75,70,75
