abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
34085096920,085096920,PERFECT GLAZE PTY LTD,PERFECT GLAZE ROOF RESTORATION,Australian Private Company,Australia Fair,Gold Coast,Gold Coast,QLD,4215,3411,Plumbing Services,roofing,CAN,26,75,65,80,75,95,95,85,75
51644096248,644096248,RUMNEY ROOFING PTY LTD,,Australian Private Company,Comoon Loop,,Cairns,QLD,4858,3411,Plumbing Services,roofing,ACT,5,75,65,80,75,95,95,85,75
75675925684,,The Trustee for THE MARK BLUNDEN FAMILY TRUST,MARCRISTA LUXURY CHARTERS,Discretionary Trading Trust,Craiglie,Douglas,Cairns,QLD,4877,3411,Plumbing Services,roofing,ACT,26,75,65,80,75,95,95,85,75
54688409396,688409396,CMD ROOFING PTY LTD,,Australian Private Company,Canowindra,Gold Coast,Gold Coast,QLD,4209,3411,Plumbing Services,roofing,ACT,0,75,65,80,75,95,95,85,75
19775322736,,BENJAMIN RUBICO ANDREWS,High Elevations Roofing,Individual/Sole Trader,Varsity Lakes,Gold Coast,Sunshine Coast,QLD,4227,3411,Plumbing Services,roofing,ACT,6,75,65,80,70,90,95,80,75
49108974923,,The Trustee for BANG ON CARPENTRY AND ROOFING TRUST,Bang On Carpentry and Roofing,Discretionary Trading Trust,Mooloolaba,Sunshine Coast,Sunshine Coast,QLD,4557,3411,Plumbing Services,roofing,CAN,8,75,65,80,75,95,95,85,75
34010840936,010840936,ROLL ON FIBREGLASS ROOFING PTY. LTD.,QUEENSLAND ROOFING WAREHOUSE,Australian Private Company,Benowa,Gold Coast,Gold Coast,QLD,4217,3411,Plumbing Services,roofing,ACT,26,75,65,80,75,95,95,85,75
78694922040,,ALASTAIR IAIN LACKIE,Under One Roof Building and Pest,Individual/Sole Trader,Sunshine Plaza,Sunshine Coast,Sunshine Coast,QLD,4558,3411,Plumbing Services,roofing,ACT,3,75,65,80,70,90,95,80,75
25692265606,692265606,GUTTER-VAC RENTALS PTY LTD,,Australian Private Company,Balmoral,Brisbane,Brisbane Inner City,QLD,4171,3411,Plumbing Services,roofing,ACT,0,75,65,80,75,95,95,85,75
43166990040,,The Trustee for BCRR family trust,BCR LAWN & GARDEN,Discretionary Trading Trust,Amamoor,Fraser Coast,Wide Bay,QLD,4570,3411,Plumbing Services,roofing,ACT,13,75,65,80,75,95,95,85,75
