abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
94668550347,668550347,INFORMATION SECURITY ASSURANCE & COMPLIANCE SPECIALISTS PTY LTD,INFORMATION SECURITY AUDITORS,Australian Private Company,Auchenflower,Brisbane,Brisbane Inner City,QLD,4066,3429,Other Building Installation,security_installers,ACT,3,65,85,80,45,80,75,80,95
57321753869,,D.J TRONC & N.T TRONC,DNT SECURITY,Family Partnership,Andromache,Mackay,Mackay,QLD,4800,3429,Other Building Installation,security_installers,NON,2,65,85,80,45,80,75,80,95
88546812623,,SHANE TOWNSEND,QUEENSLAND COUNTRY SECURITY,Individual/Sole Trader,Shelly Beach,Sunshine Coast,Sunshine Coast,QLD,4551,3429,Other Building Installation,security_installers,ACT,6,65,85,80,40,75,75,75,95
23832901787,,GRAEME MCKENZIE HASAN,GOLD COAST WEAPONS TRAINING,Individual/Sole Trader,Southern Lamington,Scenic Rim,Wide Bay,QLD,4211,3429,Other Building Installation,security_installers,NON,26,65,85,80,40,75,75,75,95
46509524133,,GARY ALLAN FREEME,AGF SECURITY,Individual/Sole Trader,Warner,Moreton Bay,Sunshine Coast,QLD,4500,3429,Other Building Installation,security_installers,ACT,26,65,85,80,40,75,75,75,95
26162421892,162421892,AUSPAD SECURITY GROUP PTY LTD,,Australian Private Company,Altandi,Brisbane,Brisbane - South,QLD,4109,3429,Other Building Installation,security_installers,ACT,13,65,85,80,45,80,75,80,95
89671790319,671790319,CYBER SECURITY CONSULTING & DEVELOPMENT PTY LTD,encryptIQ,Australian Private Company,Burnside,Gold Coast,Gold Coast,QLD,4208,3429,Other Building Installation,security_installers,ACT,2,65,85,80,45,80,75,80,95
34685814439,685814439,KEVLAR SECURITY SOLUTIONS AUSTRALIA PTY LTD,CENTURION PROTECTION,Australian Private Company,East Brisbane,Brisbane,Brisbane Inner City,QLD,4169,3429,Other Building Installation,security_installers,ACT,1,65,85,80,45,80,75,80,95
63150884861,150884861,Australian U-Fit Security Pty Ltd,,Australian Private Company,Alberton,Gold Coast,Logan - Beaudesert,QLD,4207,3429,Other Building Installation,security_installers,NON,14,65,85,80,45,80,75,80,95
65153374362,153374362,RK CCTV PTY. LTD.,RK Technologies,Australian Private Company,Underwood,Logan,Logan - Beaudesert,QLD,4119,3429,Other Building Installation,security_installers,ACT,14,65,85,80,45,80,75,80,95
