abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
13167571468,167571468,JK TRADIE PTY LTD,hybrid solar energy solutions,Australian Private Company,Altandi,Brisbane,Brisbane - South,QLD,4109,3421,Electrical Services,solar,ACT,12,70,80,85,55,85,85,90,100
98688673654,688673654,SOLAR INSTALL CO PTY LIMITED,,Australian Private Company,Capalaba,Redland,Brisbane - East,QLD,4157,3421,Electrical Services,solar,ACT,0,70,80,85,55,85,85,90,100
94669095989,669095989,SOLAR LUNAR PTY LTD,PROFESSIONAIL NORTH LAKES,Australian Private Company,Ellen Grove,Logan,Ipswich,QLD,4078,3421,Electrical Services,solar,ACT,2,70,80,85,55,85,85,90,100
63168491405,168491405,SOLAR CAD PTY LTD,,Australian Private Company,Elanora,Gold Coast,Gold Coast,QLD,4221,3421,Electrical Services,solar,NON,7,70,80,85,55,85,85,90,100
63168371962,168371962,WEIPA SOLAR FARM PTY LTD,,Australian Private Company,Brisbane,Brisbane,Brisbane Inner City,QLD,4000,3421,Electrical Services,solar,ACT,12,70,80,85,55,85,85,90,100
32613217262,613217262,JONRET PTY LTD,EcoKleen Solar Toowoomba,Australian Private Company,Athol,Toowoomba,Toowoomba,QLD,4350,3421,Electrical Services,solar,ACT,9,70,80,85,55,85,85,90,100
42553099355,,The Trustee for Keleher Family Trust,Solar Lighting Australia,Discretionary Trading Trust,Alberton,Gold Coast,Logan - Beaudesert,QLD,4207,3421,Electrical Services,solar,ACT,8,70,80,85,55,85,85,90,100
94360627356,,The Trustee for A2Z SOLAR ENERGY,,Fixed Unit Trust,Greenslopes,Brisbane,Brisbane - South,QLD,4120,3421,Electrical Services,solar,ACT,6,70,80,85,55,85,85,90,100
67685025183,685025183,SOLAR START PTY LTD,,Australian Private Company,Benowa,Gold Coast,Gold Coast,QLD,4217,3421,Electrical Services,solar,ACT,1,70,80,85,55,85,85,90,100
51682975471,682975471,GURAMBILBARRA SOLAR ENERGY PTY LTD,,Australian Private Company,Murarrie,Brisbane,Brisbane Inner City,QLD,4172,3421,Electrical Services,solar,ACT,1,70,80,85,55,85,85,90,100
