abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
54896647944,,K MCCARTHY & J.D STENHOUSE,JEFF'S WELDING,Family Partnership,Berserker,Livingstone,Fitzroy,QLD,4701,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,18,75,50,60,80,85,95,85,75
65136371814,,MITCHELL JAMES HURST,HURST FABRICATION,Individual/Sole Trader,Wurdong Heights,,Wide Bay,QLD,4680,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,1,75,50,60,75,80,95,80,75
55636320628,636320628,AUSTRALIAN INSTITUTE OF ADVANCED ENGINEERING PTY LTD,,Australian Private Company,Ellen Grove,Logan,Ipswich,QLD,4078,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,6,75,50,60,80,85,95,85,75
62014078470,,SIMON TUMBAS,SIMZYS STEEL,Individual/Sole Trader,Willow Vale,Gold Coast,Sunshine Coast,QLD,4209,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,3,75,50,60,75,80,95,80,75
63114604054,114604054,RTP Engineering Pty Ltd,RTP TRANSPORT REPAIRS,Australian Private Company,Bracken Ridge,Brisbane,Brisbane - North,QLD,4017,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,16,75,50,60,80,85,95,85,75
74356600816,,LEE MARVYN SHAW,AIRLIE EXCAVATING AND WELDING,Individual/Sole Trader,Woodwark,Whitsunday,Townsville,QLD,4802,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,4,75,50,60,75,80,95,80,75
61213828451,,HARVEY JOHN COOPER,HC ENGINEERING,Individual/Sole Trader,Sheldon,Redland,Sunshine Coast,QLD,4157,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,5,75,50,60,75,80,95,80,75
70661095361,661095361,PAPAS DEVELOPMENTS PTY LTD.,316 Engineering,Australian Private Company,Anglers Paradise,Gold Coast,Gold Coast,QLD,4216,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,3,75,50,60,80,85,95,85,75
30506309770,,The Trustee for Hinterland Fabrication Trust,,Discretionary Trading Trust,Diamond Valley,Sunshine Coast,Sunshine Coast,QLD,4553,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,0,75,50,60,80,85,95,85,75
45397372786,,The Trustee for Uys Family Trust,ALL ACES.E.S FABRICATION,Discretionary Trading Trust,Athol,Toowoomba,Toowoomba,QLD,4350,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,4,75,50,60,80,85,95,85,75
