abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
64376211438,,GURINDER SINGH BHULLAR,Taxi driver,Individual/Sole Trader,Yellow Wood,Gold Coast,Wide Bay,QLD,4207,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,17,90,55,55,60,80,65,70,60
26019474949,,GARY JOHN FORDE,MACKAY TAXI,Individual/Sole Trader,Glenlee,Livingstone,Wide Bay,QLD,4711,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,22,95,60,60,65,85,70,75,65
87146751091,146751091,GOLD COAST CHAUFFEURS PTY LTD,,Australian Private Company,Allenview,Logan,Logan - Beaudesert,QLD,4285,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,15,90,55,55,65,85,65,75,60
44585156907,,MARTINO RACO,EZI CAB,Individual/Sole Trader,Whitfield,Cairns,Wide Bay,QLD,4870,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,24,95,60,60,65,85,70,75,65
89037500433,,JAGJEET SINGH DHILLON,yallow cab,Individual/Sole Trader,Whiteside,Moreton Bay,Sunshine Coast,QLD,4503,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,2,95,60,60,65,85,70,75,65
91685954447,685954447,CABOOLTURE CARGO TAXI PTY LTD,,Australian Private Company,Balingool,Moreton Bay,Moreton Bay - North,QLD,4510,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,1,90,55,55,65,85,65,75,60
14946998347,,DALE THOMAS ROWAN,DALE ROWAN TAXI SERVICE,Individual/Sole Trader,Wondunna,,Wide Bay,QLD,4655,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,3,90,55,55,60,80,65,70,60
94121356849,121356849,TAXI FLEET MANAGERS PTY LTD,,Australian Private Company,Bunya,Moreton Bay,Moreton Bay - South,QLD,4055,4622,Taxi and Other Road Transport,taxi_rideshare,NON,19,90,55,55,65,85,65,75,60
20829297544,,The Trustee for PRICE,YEPPOON TAXI - TRUCKS & CARRYING SERVICE,Discretionary Trading Trust,Adelaide Park,Livingstone,Fitzroy,QLD,4703,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,6,95,60,60,70,90,70,80,65
66263756549,,PARMVIR SINGH SIDHU,Cab Driver,Individual/Sole Trader,Regents Park,Logan,Sunshine Coast,QLD,4118,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,18,90,55,55,60,80,65,70,60
96691329214,,STEPHEN HARLAND & GLENDA ROSE- MCCALLUM,NOOSA V I P LIMOUSINES,Family Partnership,Boreen,Noosa,Sunshine Coast,QLD,4565,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,70,90,70,80,65
89618218901,618218901,CASABLANCA TAXI PTY LTD,,Australian Private Company,Bald Knob,Moreton Bay,Sunshine Coast,QLD,4552,4622,Taxi and Other Road Transport,taxi_rideshare,NON,9,90,55,55,65,85,65,75,60
86060813602,,JAMES WILLIAM TORRANCE,Sky Taxi,Individual/Sole Trader,Shelly Beach,Sunshine Coast,Sunshine Coast,QLD,4551,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,16,95,60,60,65,85,70,75,65
80168732483,168732483,LIFOS PTY. LTD.,Great Greenway Bus Charter,Australian Private Company,Bingil Bay,Cassowary Coast,Cairns,QLD,4852,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,12,95,60,60,70,90,70,80,65
54152145910,152145910,Brisbane Integrated Services Pty Ltd,Atlantic Limousine Transfers & Tours,Australian Private Company,Basin Pocket,Scenic Rim,Ipswich,QLD,4305,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,14,90,55,55,65,85,65,75,60
46448062175,,HENDRIK CHRISTOFFEL SCHOEMAN,ASSEMBLE WORKS,Individual/Sole Trader,The Spit,Gold Coast,Sunshine Coast,QLD,4217,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,0,95,60,60,65,85,70,75,65
38650670901,650670901,BRIFREY RIDESHARE PTY LTD,,Australian Private Company,Mango Hill,Moreton Bay,Moreton Bay - South,QLD,4509,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,4,95,60,60,70,90,70,80,65
98680221428,,CHRIS CROSLAND,Exclusive Chauffeured Limousines,Individual/Sole Trader,Willow Vale,Gold Coast,Sunshine Coast,QLD,4209,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,22,95,60,60,65,85,70,75,65
54038020625,,NIKOLAOS PAPAGEORGIOU,BRISBANE EXECUTIVE LIMOUSINES,Individual/Sole Trader,Wishart,Brisbane,Sunshine Coast,QLD,4122,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,20,95,60,60,65,85,70,75,65
43686257107,686257107,TRIPLE C AUTO GROUP PTY LTD,EXPRESS RIDESHARE RENTALS,Australian Private Company,Altandi,Brisbane,Brisbane - South,QLD,4109,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,1,95,60,60,70,90,70,80,65
47131571095,,The trustee for the Meacham No 1 Taxi Trust,,Discretionary Trading Trust,Australia Fair,Gold Coast,Gold Coast,QLD,4215,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,17,95,60,60,70,90,70,80,65
63604376839,,RICHARD ALLAN STORM,taxi driver,Individual/Sole Trader,Woongarra,,Wide Bay,QLD,4670,4622,Taxi and Other Road Transport,taxi_rideshare,CAN,0,90,55,55,60,80,65,70,60
28668360905,668360905,SUNSHINE COAST CHAUFFEUR PTY LTD,,Australian Private Company,Buderim,Sunshine Coast,Sunshine Coast,QLD,4556,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,2,95,60,60,70,90,70,80,65
98969945404,,The trustee for Cabs 2000 Unit Trust,,Fixed Unit Trust,Chatswood Hills,Brisbane,Logan - Beaudesert,QLD,4127,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,16,95,60,60,70,90,70,80,65
95722426470,,JASWINDER SINGH PHAGURA,taxi,Individual/Sole Trader,Regents Park,Logan,Sunshine Coast,QLD,4118,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,10,95,60,60,65,85,70,75,65
