abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
90951818539,,C.L MARCHETTI & R MARCHETTI,CL & R MARCHETTI,Family Partnership,Mooloolaba,Sunshine Coast,Sunshine Coast,QLD,4557,3439,Tiling & Carpeting,tiling,ACT,15,50,50,75,45,70,75,65,60
48830355454,,TRADE TILING GROUP TRUST,,Discretionary Trading Trust,Clear Island Waters,Gold Coast,Gold Coast,QLD,4226,3439,Tiling & Carpeting,tiling,ACT,9,50,50,75,45,70,75,65,60
35414725080,,DEAN DAVIS,NVS TILING,Individual/Sole Trader,Craigslea,Brisbane,Sunshine Coast,QLD,4032,3439,Tiling & Carpeting,tiling,ACT,3,50,50,75,40,65,75,60,60
73585447093,,The trustee for The Haley Family Trust,Coast 2 Coast Tiling Pty Ltd,Discretionary Trading Trust,Marcoola,Sunshine Coast,Sunshine Coast,QLD,4564,3439,Tiling & Carpeting,tiling,ACT,15,50,50,75,45,70,75,65,60
47460657474,,EMILY KATE NASH,emily nash,Individual/Sole Trader,Yorkeys Knob,Cairns,Wide Bay,QLD,4878,3439,Tiling & Carpeting,tiling,ACT,1,50,50,75,40,65,75,60,60
26210475487,,Esperance I Community Tiles Scheme 49606,,Strata-title,Chatswood Hills,Brisbane,Logan - Beaudesert,QLD,4127,3439,Tiling & Carpeting,tiling,NON,8,50,50,75,40,65,75,60,60
67425123091,,LUKE YOGESH PATEL,STICK IT TILING,Individual/Sole Trader,Cornubia,Redland,Sunshine Coast,QLD,4130,3439,Tiling & Carpeting,tiling,ACT,6,50,50,75,40,65,75,60,60
85159641433,159641433,TROUBLESHOOTER TILING SERVICES PTY LTD,,Australian Private Company,Godwin Beach,Moreton Bay,Moreton Bay - North,QLD,4511,3439,Tiling & Carpeting,tiling,ACT,13,50,50,75,45,70,75,65,60
75640498773,640498773,STAR PRO TILING PTY LTD,,Australian Private Company,Crestmead,Logan,Logan - Beaudesert,QLD,4132,3439,Tiling & Carpeting,tiling,ACT,6,50,50,75,45,70,75,65,60
57686268137,686268137,MEGA TILES AUSTRALIA PTY LTD,,Australian Private Company,Logandale,Logan,Logan - Beaudesert,QLD,4129,3439,Tiling & Carpeting,tiling,ACT,1,50,50,75,45,70,75,65,60
