abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
71322166584,,SURINDERPAL SINGH,courier business,Individual/Sole Trader,Runcorn,Brisbane,Sunshine Coast,QLD,4113,4621,Road Freight Transport,transport_logistics,ACT,16,95,60,65,80,85,75,85,80
89168840248,168840248,CAMERON HOLM TRANSPORT PTY LTD,,Australian Private Company,Diamantina Lakes,Diamantina,Queensland - Outback,QLD,4735,4621,Road Freight Transport,transport_logistics,ACT,12,95,60,65,85,90,75,90,80
78699224063,,JAMES TAYLOR,HOME JAMES REMOVALS & TRANSPORT,Individual/Sole Trader,Parkwood,Gold Coast,Sunshine Coast,QLD,4214,4621,Road Freight Transport,transport_logistics,CAN,18,90,55,60,75,80,70,80,75
60268856498,,JACOB AARON WARD,Bloke Ute Trailer Transport,Individual/Sole Trader,Vincent,Townsville,Wide Bay,QLD,4814,4621,Road Freight Transport,transport_logistics,ACT,2,95,60,65,80,85,75,85,80
66693633939,693633939,BILLY JOE LOGISTICS PTY. LTD.,,Australian Private Company,Boronia Heights,Ipswich,Logan - Beaudesert,QLD,4124,4621,Road Freight Transport,transport_logistics,ACT,0,95,60,65,85,90,75,90,80
92693302680,693302680,FIELDS LOGISTICS PTY LTD,,Australian Private Company,Canowindra,Gold Coast,Gold Coast,QLD,4209,4621,Road Freight Transport,transport_logistics,NON,0,90,55,60,80,85,70,85,75
17621267865,621267865,MDP REFRIGERATED TRANSPORT PTY LTD,,Australian Private Company,Collingwood Park,Ipswich,Ipswich,QLD,4301,4621,Road Freight Transport,transport_logistics,CAN,8,90,55,60,80,85,70,85,75
12658595932,658595932,NAVYA TRANSPORT SERVICES PTY LTD,NAVYA TRANSPORT SERVICES,Australian Private Company,Athol,Toowoomba,Toowoomba,QLD,4350,4621,Road Freight Transport,transport_logistics,CAN,4,90,55,60,80,85,70,85,75
84685361479,685361479,J STAR TRANSPORT PTY LTD,,Australian Private Company,Rothwell,Moreton Bay,Moreton Bay - North,QLD,4022,4621,Road Freight Transport,transport_logistics,ACT,1,95,60,65,85,90,75,90,80
92665008186,665008186,SUPER FAST LOGISTICS PTY LTD,,Australian Private Company,Moranbah,Isaac,Mackay,QLD,4744,4621,Road Freight Transport,transport_logistics,ACT,3,95,60,65,85,90,75,90,80
