abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
11623251016,623251016,HOTELLERIE PTY LTD,,Australian Private Company,Eastwood,Burnside,Adelaide - Central and Hills,SA,5063,4400,Accommodation,accommodation,NON,8,50,70,85,45,85,50,75,60
62103493349,103493349,INFINITY VENTURES PTY LTD,YOUTHWORKS RETAIL COMPANY PTY LTD,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,4400,Accommodation,accommodation,ACT,23,55,75,90,50,90,55,80,65
57159271137,159271137,VICTORIA HOTEL INVESTMENTS (SA) PTY LTD,,Australian Private Company,Angas Plains,Murray Bridge,South Australia - South East,SA,5255,4400,Accommodation,accommodation,NON,13,50,70,85,45,85,50,75,60
39083697769,083697769,CORNISH HOTEL PTY LTD,,Australian Private Company,Glenelg,West Torrens,Adelaide - West,SA,5045,4400,Accommodation,accommodation,NON,26,50,70,85,45,85,50,75,60
16691410189,691410189,SIMAR RESORTS PTY LTD,MOTEL RIVERBEND,Australian Private Company,Bayah,Coorong,South Australia - South East,SA,5260,4400,Accommodation,accommodation,ACT,0,55,75,90,50,90,55,80,65
52573559606,,The Trustee for The P & J James Family Trust,Good Knights Relief Management,Discretionary Trading Trust,Armagh,Wakefield,Barossa - Yorke - Mid North,SA,5453,4400,Accommodation,accommodation,ACT,22,55,75,90,50,90,55,80,65
45689174374,689174374,THREE PLUMES PTY LTD,FEATHERS HOTEL,Australian Private Company,Beulah Park,Burnside,Adelaide - Central and Hills,SA,5067,4400,Accommodation,accommodation,ACT,0,55,75,90,50,90,55,80,65
62922956779,,ELLE SANDERS WHITTINGTON,HOMESTAY HOTELIER,Individual/Sole Trader,Parkside,Burnside,Adelaide - West,SA,5063,4400,Accommodation,accommodation,NON,3,50,70,85,40,80,50,70,60
56228948466,,The trustee for Dickins Property Trust,Jamestown Motel Terraces,Discretionary Investment Trust,Belalie East,Northern Areas,Barossa - Yorke - Mid North,SA,5491,4400,Accommodation,accommodation,NON,15,50,70,85,45,85,50,75,60
15775994354,,The Trustee for Astor Hotel Unit Trust,Astor Hotel,Fixed Unit Trust,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,4400,Accommodation,accommodation,ACT,11,55,75,90,50,90,55,80,65
