abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
99704727129,,JOHN ANDREW CONSTANT,CONSTANT ACCOUNTING,Individual/Sole Trader,Kidman Park,Charles Sturt,Adelaide - West,SA,5025,6923,Accounting Services,accounting,ACT,17,35,95,90,25,80,20,65,75
18669121439,669121439,LANGANIS ACCOUNTANTS PTY LTD,Instone Accountants,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,6923,Accounting Services,accounting,ACT,2,35,95,90,30,85,20,70,75
55684864846,684864846,GROW MORE ACCOUNTING AND TAXATION PTY LTD,,Australian Private Company,Findon,Charles Sturt,Adelaide - West,SA,5023,6923,Accounting Services,accounting,NON,1,30,90,85,25,80,15,65,70
90483686054,,The Trustee for SHANE PRITCHARD ACCOUNTING TRUST,,Discretionary Trading Trust,Christies Beach,Onkaparinga,Adelaide - South,SA,5165,6923,Accounting Services,accounting,NON,2,30,90,85,25,80,15,65,70
96684033047,684033047,AVALON TAX & ACCOUNTING PTY LTD,,Australian Private Company,Mile End,West Torrens,Adelaide - West,SA,5031,6923,Accounting Services,accounting,ACT,1,35,95,90,30,85,20,70,75
99853861996,,The Trustee for K BODIE FAMILY TRUST,Global Accountants,Discretionary Trading Trust,Broadview,Port Adelaide Enfield,Adelaide - North,SA,5083,6923,Accounting Services,accounting,ACT,10,35,95,90,30,85,20,70,75
24144542316,144542316,ADDEPT PTY LTD,CRASE ROBINSON,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,6923,Accounting Services,accounting,NON,14,30,90,85,25,80,15,65,70
91858652846,,The Trustee for the Dulwich Group Business Services (RA) Unit Trust,ALLEN & CO ACCOUNTANTS,Discretionary Trading Trust,Hyde Park,Unley,Adelaide - Central and Hills,SA,5061,6923,Accounting Services,accounting,ACT,6,35,95,90,30,85,20,70,75
20727183576,,HUONG THANH HIRST,HH Mobile Administration & Accounting,Individual/Sole Trader,Para Hills West,Tea Tree Gully,Adelaide - West,SA,5096,6923,Accounting Services,accounting,ACT,4,35,95,90,25,80,20,65,75
38636083675,636083675,ALLIED ACCOUNTING GROUP PTY LTD,ICL Group,Australian Private Company,Felixstow,Norwood Payneham and St Peters,Adelaide - North,SA,5070,6923,Accounting Services,accounting,ACT,6,35,95,90,30,85,20,70,75
