abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
63050779169,,GEOFFREY CRAVEN,Geoff Craven Physiotherapy Services,Individual/Sole Trader,South Brighton,Marion,Adelaide - West,SA,5048,8539,Other Allied Health Services,allied_health,NON,14,35,80,75,40,85,60,70,75
61080841436,,The Trustee for LP Physiotherapy Trust,OPTIMISE PHYSIOTHERAPY,Discretionary Services Management Trust,Dulwich,Burnside,Adelaide - Central and Hills,SA,5065,8539,Other Allied Health Services,allied_health,ACT,14,40,85,80,50,95,65,80,80
60596847731,,The Trustee for Penelope Richards Psychologist Trust,,Discretionary Trading Trust,Mile End,West Torrens,Adelaide - West,SA,5031,8539,Other Allied Health Services,allied_health,ACT,12,40,85,80,50,95,65,80,80
94210019892,,The Trustee for P & K CARPENTER FAMILY TRUST,CARPENTER & BROWN OPTOMETRISTS,Discretionary Trading Trust,Colonel Light Gardens,Mitcham,Adelaide - South,SA,5041,8539,Other Allied Health Services,allied_health,CAN,23,35,80,75,45,90,60,75,75
48168783391,168783391,APEX PHYSIOTHERAPY PTY LTD,Body Fit Physiotherapy,Australian Private Company,Fitzroy,Port Adelaide Enfield,Adelaide - West,SA,5082,8539,Other Allied Health Services,allied_health,NON,12,35,80,75,45,90,60,75,75
63071036049,,The Trustee for Peek Physio Trust,Cycling Gourmands,Discretionary Trading Trust,Auldana,Adelaide Hills,Adelaide - Central and Hills,SA,5072,8539,Other Allied Health Services,allied_health,ACT,19,40,85,80,50,95,65,80,80
46630758771,630758771,W.LAM PHYSIOTHERAPY PTY LTD,ELITE HEALTH HUB,Australian Private Company,Glandore,Marion,Adelaide - West,SA,5037,8539,Other Allied Health Services,allied_health,ACT,7,40,85,80,50,95,65,80,80
75658705090,658705090,BC PHYSIOTHERAPY PTY LTD,REYNELLA SPORTS INJURY CLINIC,Australian Private Company,Old Reynella,Marion,Adelaide - South,SA,5161,8539,Other Allied Health Services,allied_health,ACT,4,40,85,80,50,95,65,80,80
34376141168,,SOUTHERN LAND OSTEOPATHY U/T,MILE END OSTEOPATHY,Corporate Unit Trust,Heathpool,Norwood Payneham and St Peters,Adelaide - Central and Hills,SA,5068,8539,Other Allied Health Services,allied_health,NON,26,35,80,75,45,90,60,75,75
17129864366,129864366,SPECSAVERS TEA TREE PLAZA (SA) PTY LTD,Specsavers Tea Tree Plaza Pty Ltd,Australian Private Company,Modbury,Tea Tree Gully,Adelaide - North,SA,5092,8539,Other Allied Health Services,allied_health,ACT,18,40,85,80,50,95,65,80,80
