abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
96731183104,,AKBAR PATEL,CLUTCH & GO,Individual/Sole Trader,Holden Hill,Port Adelaide Enfield,Adelaide - West,SA,5088,4512,Takeaway Food Services,bar_pub,NON,11,45,70,80,50,85,60,75,55
30205414836,,LYNNE HILL,Grannys Grizzle Bar,Individual/Sole Trader,Verdun,Adelaide Hills,South Australia - South East,SA,5245,4512,Takeaway Food Services,bar_pub,NON,0,45,70,80,50,85,60,75,55
65164548387,164548387,RUMBABAR PTY LTD,,Australian Private Company,Broadview,Port Adelaide Enfield,Adelaide - North,SA,5083,4512,Takeaway Food Services,bar_pub,NON,6,45,70,80,55,90,60,80,55
70172202494,,SANTIAGO ISRAEL FUENMAYOR ESCOBAR,,Individual/Sole Trader,Wistow,Mount Barker,South Australia - South East,SA,5251,4512,Takeaway Food Services,bar_pub,NON,1,45,70,80,50,85,60,75,55
12007609396,007609396,MCMAHONS TAVERN PTY. LTD.,TAVERN 540,Australian Private Company,Cowandilla,West Torrens,Adelaide - West,SA,5033,4512,Takeaway Food Services,bar_pub,ACT,25,50,75,85,60,95,65,85,60
85515530960,,The Trustee for My Food Bar Trust,,Discretionary Trading Trust,Clearview,Port Adelaide Enfield,Adelaide - North,SA,5085,4512,Takeaway Food Services,bar_pub,NON,11,45,70,80,55,90,60,80,55
82173499423,,SHAHIN SHAWN RANJBAR,,Individual/Sole Trader,Walkerville,Prospect,Adelaide - West,SA,5081,4512,Takeaway Food Services,bar_pub,NON,6,45,70,80,50,85,60,75,55
67158627680,158627680,KIDMAN PARK PIZZA HOUSE PTY. LTD.,Fulham Pizza Bar,Australian Private Company,Brooklyn Park,West Torrens,Adelaide - West,SA,5032,4512,Takeaway Food Services,bar_pub,NON,10,45,70,80,55,90,60,80,55
98605109096,,The Trustee for the DCP Trust,CARUSO'S DELI,Discretionary Trading Trust,Mount Gambier,Mount Gambier,South Australia - South East,SA,5290,4512,Takeaway Food Services,bar_pub,ACT,2,50,75,85,60,95,65,85,60
76306036909,,DAVID ALEJANDRO ESCOBAR,,Individual/Sole Trader,Walkley Heights,Port Adelaide Enfield,Adelaide - West,SA,5098,4512,Takeaway Food Services,bar_pub,NON,1,45,70,80,50,85,60,75,55
