abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
26008195462,008195462,HOLDFAST CONSTRUCTION SERVICES PTY. LTD.,,Australian Private Company,Glenelg,West Torrens,Adelaide - West,SA,5045,3010,House Construction,building_construction,NON,26,80,60,75,90,95,90,90,75
68189578012,,COLIN ROBERT SHEPPARD,C R SHEPPARD CONSTRUCTION,Individual/Sole Trader,Towitta,Mid Murray,South Australia - South East,SA,5353,3010,House Construction,building_construction,ACT,26,80,60,75,85,90,90,85,75
46125451578,125451578,Adelaide Better Maintenance Pty Ltd,SUR BUILDING GROUP,Australian Private Company,Gillman,Charles Sturt,Adelaide - West,SA,5013,3010,House Construction,building_construction,NON,17,80,60,75,90,95,90,90,75
47463175700,,DARREN SERGE BOLZON,ALL BUILDING AND CARPENTRY SERVICES,Individual/Sole Trader,West Beach,West Torrens,Adelaide - West,SA,5024,3010,House Construction,building_construction,CAN,4,80,60,75,85,90,90,85,75
28087471101,,THOMAS WESTON PATERSON ABBOTT,ABBOTT BUILDING & CONSTRUCTION,Individual/Sole Trader,Reeves Plains,Wakefield,South Australia - South East,SA,5502,3010,House Construction,building_construction,ACT,14,80,60,75,85,90,90,85,75
51662144139,,The Trustee for Shaksi Brothers Construction & Maintenance Trust,,Discretionary Trading Trust,Beulah Park,Burnside,Adelaide - Central and Hills,SA,5067,3010,House Construction,building_construction,NON,1,80,60,75,90,95,90,90,75
60061971515,061971515,B. E. BUILDING SERVICES PTY. LTD.,,Australian Private Company,Colonel Light Gardens,Mitcham,Adelaide - South,SA,5041,3010,House Construction,building_construction,ACT,26,80,60,75,90,95,90,90,75
20339097785,,The Trustee for Joel Wilson Family Trust,Adelaide Pool Solutions,Discretionary Trading Trust,Port Noarlunga,Onkaparinga,Adelaide - South,SA,5167,3010,House Construction,building_construction,ACT,9,80,60,75,90,95,90,90,75
36812110177,,DYLAN MICHAEL MOLNAR,Molnar Carpentry And Building Services,Individual/Sole Trader,Woods Point,Mid Murray,South Australia - South East,SA,5253,3010,House Construction,building_construction,ACT,8,80,60,75,85,90,90,85,75
17298423482,,KURT JAMES NEWHAM,K.J. Carpentry,Individual/Sole Trader,Royal Park,Port Adelaide Enfield,Adelaide - West,SA,5014,3010,House Construction,building_construction,ACT,17,80,60,75,85,90,90,85,75
