abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
83687659909,687659909,R & S COACHLINES PTY LTD,,Australian Private Company,Dernancourt,Port Adelaide Enfield,Adelaide - North,SA,5075,4610,Road Passenger Transport,bus_coach,ACT,0,100,65,60,80,95,80,90,75
98664592818,,BRIAN DOUGLAS KENEFICK,GOLDLINER COACH TOURS,Individual/Sole Trader,Outer Harbor,Port Adelaide Enfield,Adelaide - West,SA,5018,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,75,90,80,85,75
61799219539,,SANDRA PAIGE KINGWELL,ROAD KING COACHLINES,Individual/Sole Trader,Torrens Island,,Adelaide - West,SA,5015,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,75,90,80,85,75
11652650425,652650425,GREENPATH COACH & TOURS PTY LTD,GREENPATH TRAVELS,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,4610,Road Passenger Transport,bus_coach,ACT,4,100,65,60,80,95,80,90,75
95388414794,,The Trustee for A M Hodges & A M Klemm Family Trust,Andrew Hodges Action Coach,Discretionary Services Management Trust,Beaumont,Adelaide Hills,Adelaide - Central and Hills,SA,5066,4610,Road Passenger Transport,bus_coach,ACT,12,100,65,60,80,95,80,90,75
85008191213,008191213,DEEPRATE PTY. LTD.,PENINSULA INSURANCE SERVICES,Australian Private Company,Boors Plain,Barunga West,Barossa - Yorke - Mid North,SA,5554,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,80,95,80,90,75
67662814173,662814173,WA BUS AND COACHLINES PTY LTD,HORIZONS WEST BUS AND COACHLINES,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,4610,Road Passenger Transport,bus_coach,ACT,3,100,65,60,80,95,80,90,75
23008041905,008041905,RCKJ PTY LTD,ADELAIDE COACHLINES PTY LTD,Australian Private Company,Clarence Gardens,Marion,Adelaide - South,SA,5039,4610,Road Passenger Transport,bus_coach,CAN,26,95,60,55,75,90,75,85,70
25560509445,,D.N CHRISTIE & D.R CHRISTIE,CHRISTIE BROS LAMEROO BUS SERVICE,Family Partnership,Lameroo,Coorong,South Australia - South East,SA,5302,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,80,95,80,90,75
36611613917,611613917,KANGAROO ISLAND WILDLIFE SAFARI PTY LTD,Kangaroo Island Bus Charters,Australian Private Company,American Beach,Kangaroo Island,South Australia - South East,SA,5222,4610,Road Passenger Transport,bus_coach,CAN,10,95,60,55,75,90,75,85,70
98997614151,,C.I WALTERS & D.K WALTERS,DK & CI WALTERS,Family Partnership,Mundic Creek,Unincorporated SA,South Australia - South East,SA,5340,4610,Road Passenger Transport,bus_coach,ACT,16,100,65,60,80,95,80,90,75
75008184763,008184763,EXPLORER COACHLINES TRAVEL PTY. LTD.,,Australian Private Company,Hyde Park,Unley,Adelaide - Central and Hills,SA,5061,4610,Road Passenger Transport,bus_coach,NON,26,95,60,55,75,90,75,85,70
69731647933,,The trustee for The Kanga Coachlines Unit Trust,Adelaide Coachlines,Fixed Unit Trust,Mawson Lakes,Salisbury,Adelaide - North,SA,5095,4610,Road Passenger Transport,bus_coach,ACT,14,100,65,60,80,95,80,90,75
55684922330,,MENIQUE ILANI PERERA,Menique Perera Mental Health Recovery & Wellbeing Coach & Consultancy Services,Individual/Sole Trader,Underdale,West Torrens,Adelaide - West,SA,5032,4610,Road Passenger Transport,bus_coach,NON,9,95,60,55,70,85,75,80,70
78097199829,097199829,PEDLER INVESTMENTS PTY LTD,GOOLWA BUS AND COACH PTY LTD,Australian Private Company,Currency Creek,Alexandrina,South Australia - South East,SA,5214,4610,Road Passenger Transport,bus_coach,CAN,24,95,60,55,75,90,75,85,70
77645029474,645029474,RECOVERY COACH SERVICES AUSTRALIA PTY LTD,My Haven Life,Australian Private Company,Glenelg,West Torrens,Adelaide - West,SA,5045,4610,Road Passenger Transport,bus_coach,NON,5,95,60,55,75,90,75,85,70
