abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
83630581083,630581083,ADELAIDEATERY PTY LTD,,Australian Private Company,St Clair,Charles Sturt,Adelaide - West,SA,5011,4511,Cafes and Restaurants,cafe_restaurant,CAN,7,40,70,85,50,85,55,75,55
84259012487,,CHIN FOOK SIOW,CHINATOWN CAFE,Individual/Sole Trader,Sturt Street,Adelaide,Adelaide - West,SA,5000,4511,Cafes and Restaurants,cafe_restaurant,CAN,26,40,70,85,45,80,55,70,55
59987441353,,JAMES GARDINER,DR JAMES GARDINER,Individual/Sole Trader,Oakbank,Mount Barker,South Australia - South East,SA,5243,4511,Cafes and Restaurants,cafe_restaurant,CAN,25,40,70,85,45,80,55,70,55
20774238949,,JONATHON THOMAS WESTON,The Swagman Cafe,Individual/Sole Trader,West Croydon,Port Adelaide Enfield,Adelaide - West,SA,5008,4511,Cafes and Restaurants,cafe_restaurant,NON,0,40,70,85,45,80,55,70,55
36707783112,,CAFE BACINO PTY LTD & TANIA FONTANABELLA PTY LTD,The Claudia Votino Family Trust & The Tania Fontanabella Family Trust,Other Partnership,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,4511,Cafes and Restaurants,cafe_restaurant,ACT,17,45,75,90,55,90,60,80,60
65185054963,,LEONARDO COLANGELO,THE PARADE EATERY,Individual/Sole Trader,Woodforde,Adelaide Hills,Adelaide - West,SA,5072,4511,Cafes and Restaurants,cafe_restaurant,ACT,7,45,75,90,50,85,60,75,60
50814061249,,T H GLENELG TRUST,T H GLENELG PTY LTD(TIMOTHY CLIFTON& MARK HALL AS JOINT LIQUIDATORS),Other trust,Glenelg,West Torrens,Adelaide - West,SA,5045,4511,Cafes and Restaurants,cafe_restaurant,ACT,26,45,75,90,55,90,60,80,60
65652493144,652493144,ZEEA'S EATERY FRANCHISING PTY LTD,,Australian Private Company,Campbelltown,Campbelltown (SA),Adelaide - North,SA,5074,4511,Cafes and Restaurants,cafe_restaurant,NON,4,40,70,85,50,85,55,75,55
43250115760,,The Trustee for MORISON MAY TRUST,Mawson House Cafe,Discretionary Trading Trust,Kingston Park,Holdfast Bay,Adelaide - South,SA,5049,4511,Cafes and Restaurants,cafe_restaurant,ACT,4,45,75,90,55,90,60,80,60
76061917306,061917306,INN-LAW PTY. LTD.,FLETCHER & LAWSON LAWYERS,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,4511,Cafes and Restaurants,cafe_restaurant,ACT,26,45,75,90,55,90,60,80,60
