abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
63635823399,635823399,CIVIL APPRENTICESHIPS AND CAREERS LTD,,Australian Public Company,Cavan,Salisbury,Adelaide - West,SA,5094,3109,Heavy & Civil Engineering,civil_contractors,ACT,6,95,60,65,100,100,100,95,85
16502480308,,REECE ADAM TABE,R. A Tabe Contractors,Individual/Sole Trader,Silver Sands,Onkaparinga,Adelaide - West,SA,5173,3109,Heavy & Civil Engineering,civil_contractors,ACT,8,95,60,65,100,95,100,90,85
52701820692,,The Trustee for CSB Family Trust,Four Knots Murray River Contracting,Discretionary Trading Trust,Angas Valley,Karoonda East Murray,South Australia - South East,SA,5238,3109,Heavy & Civil Engineering,civil_contractors,ACT,9,95,60,65,100,100,100,95,85
82605674842,605674842,DAMAR CIVIL PTY LTD,,Australian Private Company,Golden Grove,Salisbury,Adelaide - North,SA,5125,3109,Heavy & Civil Engineering,civil_contractors,ACT,11,95,60,65,100,100,100,95,85
30437581972,,AARON GEORGE WESTE,Weste Contracting,Individual/Sole Trader,Warnertown,Mount Remarkable,South Australia - South East,SA,5540,3109,Heavy & Civil Engineering,civil_contractors,ACT,9,95,60,65,100,95,100,90,85
59657329314,,C FRANGIOSA & S FRANGIOSA,DRILLMAX DRILLING CONTRACTORS,Other Partnership,Dernancourt,Port Adelaide Enfield,Adelaide - North,SA,5075,3109,Heavy & Civil Engineering,civil_contractors,CAN,26,95,60,65,100,100,100,95,85
43686468268,,JARRAD CRAIG TROWBRIDGE,Jarrad Trowbridge,Individual/Sole Trader,Yumbarra,Maralinga Tjarutja,South Australia - Outback,SA,5690,3109,Heavy & Civil Engineering,civil_contractors,ACT,6,95,60,65,100,95,100,90,85
30688303924,688303924,C2 CIVIL PTY LTD,,Australian Private Company,Exeter,Charles Sturt,Adelaide - West,SA,5019,3109,Heavy & Civil Engineering,civil_contractors,ACT,0,95,60,65,100,100,100,95,85
18102332730,102332730,LT & JM WILSON PTY LTD,WILSON CONTRACTING PENOLA,Australian Private Company,Comaum,Grant,South Australia - South East,SA,5277,3109,Heavy & Civil Engineering,civil_contractors,ACT,23,95,60,65,100,100,100,95,85
47649166852,649166852,FAST TRACK CONTRACTING PTY LTD,Littlehampton Equipment Hire,Australian Private Company,Blakiston,Mount Barker,Adelaide - Central and Hills,SA,5250,3109,Heavy & Civil Engineering,civil_contractors,ACT,5,95,60,65,100,100,100,95,85
