abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
35630518184,,ANNETTE SHARP,THE CLEANING FAIRIES CLEANING SERVICES,Individual/Sole Trader,Waterloo Corner,Playford,South Australia - South East,SA,5110,7322,Building Cleaning Services,cleaning_restoration,NON,3,70,85,80,50,75,85,85,70
44604364950,,DEBRA MILLER,In balance Health and Wellness Centre,Individual/Sole Trader,Yattalunga,Gawler,South Australia - South East,SA,5114,7322,Building Cleaning Services,cleaning_restoration,NON,25,70,85,80,50,75,85,85,70
91668954329,,DANIEL BEARD,CANOPY CLEANING SOLUTIONS,Individual/Sole Trader,Woodcroft,Onkaparinga,Adelaide - West,SA,5162,7322,Building Cleaning Services,cleaning_restoration,ACT,16,70,85,80,50,75,85,85,70
95151175357,,SUMIT WADHWA,Sumit Express car cleaning,Individual/Sole Trader,Yattalunga,Gawler,South Australia - South East,SA,5114,7322,Building Cleaning Services,cleaning_restoration,CAN,13,70,85,80,50,75,85,85,70
35486045909,,PURASKAR SAPKOTA,HERO CLEANING SERVICE,Individual/Sole Trader,Melrose Park Dc,Marion,Adelaide - West,SA,5039,7322,Building Cleaning Services,cleaning_restoration,CAN,8,70,85,80,50,75,85,85,70
59904070812,,GEOFFERY PAUL GRAHAM,GEOFFREY'S MAINTENANCES & CLEANING,Individual/Sole Trader,Thrington,Yorke Peninsula,South Australia - South East,SA,5552,7322,Building Cleaning Services,cleaning_restoration,NON,0,70,85,80,50,75,85,85,70
18761503354,,MICHAEL ANTHONY BELCZACKI,BELCZACKI WINDOW CLEANING,Individual/Sole Trader,Northgate,Port Adelaide Enfield,Adelaide - West,SA,5085,7322,Building Cleaning Services,cleaning_restoration,NON,2,70,85,80,50,75,85,85,70
94275056780,,M YADEGARI & M YADEGARY,Memento cleaning company,Family Partnership,Findon,Charles Sturt,Adelaide - West,SA,5023,7322,Building Cleaning Services,cleaning_restoration,NON,7,70,85,80,55,80,85,90,70
46300936200,,DONG ZHAO,NeverDust Cleaning Service,Individual/Sole Trader,Royston Park,Norwood Payneham and St Peters,Adelaide - West,SA,5070,7322,Building Cleaning Services,cleaning_restoration,NON,1,70,85,80,50,75,85,85,70
20689269421,689269421,LEMON CLEANING PTY LTD,,Australian Private Company,Glen Osmond,Mitcham,Adelaide - South,SA,5064,7322,Building Cleaning Services,cleaning_restoration,ACT,0,70,85,80,55,80,85,90,70
