abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
89694683371,694683371,HORST MINING CONSULTANTS PTY LTD,,Australian Private Company,Clearview,Port Adelaide Enfield,Adelaide - North,SA,5085,6960,Management and Related Consulting Services,consulting,ACT,0,45,90,95,40,80,25,85,85
92609033223,,JOSIE ANTONIETTA LUCIANO,HYPE SERVICES AND CONSULTANT,Individual/Sole Trader,Walkerville,Prospect,Adelaide - West,SA,5081,6960,Management and Related Consulting Services,consulting,ACT,25,45,90,95,35,75,25,80,85
85711661557,,The Trustee for Truswell Masonry Consultant Trust,,Discretionary Trading Trust,Belair,Adelaide Hills,Adelaide - South,SA,5052,6960,Management and Related Consulting Services,consulting,ACT,6,45,90,95,40,80,25,85,85
97794557816,,GAVIN LINDSAY HENNIG,Onsite Advantage Consulting,Individual/Sole Trader,Reeves Plains,Wakefield,South Australia - South East,SA,5502,6960,Management and Related Consulting Services,consulting,CAN,0,40,85,90,30,70,20,75,80
18105527893,105527893,BR Sales & Marketing Consulting Pty Ltd,,Australian Private Company,Belair,Adelaide Hills,Adelaide - South,SA,5052,6960,Management and Related Consulting Services,consulting,CAN,22,40,85,90,35,75,20,80,80
99166814099,166814099,BIG DOME INVESTMENTS PTY LTD,MID-MURRAY STORAGE,Australian Private Company,Cavan,Salisbury,Adelaide - West,SA,5094,6960,Management and Related Consulting Services,consulting,ACT,12,45,90,95,40,80,25,85,85
49659148928,659148928,CHASER AGRISERVICES PTY LTD,Soil Function Consulting,Australian Private Company,Bool Lagoon,Wattle Range,South Australia - South East,SA,5271,6960,Management and Related Consulting Services,consulting,ACT,4,45,90,95,40,80,25,85,85
35118711023,118711023,CHARTER CAPITAL CONSULTING PTY LTD,,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,6960,Management and Related Consulting Services,consulting,ACT,20,45,90,95,40,80,25,85,85
49365958655,,The trustee for RAJM Consulting Trust,,Discretionary Services Management Trust,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,6960,Management and Related Consulting Services,consulting,ACT,16,45,90,95,40,80,25,85,85
38960809911,,K.J MARCH & R.J MARCH,R MARCH & K MARCH,Other Partnership,Lonsdale,Marion,Adelaide - South,SA,5160,6960,Management and Related Consulting Services,consulting,CAN,22,40,85,90,35,75,20,80,80
