abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
90666379540,666379540,DENTAL MATTERS PTY LTD,Smiles Are Us,Australian Private Company,Kingston Park,Holdfast Bay,Adelaide - South,SA,5049,8530,Dental Services,dental,ACT,3,35,90,85,45,90,65,75,80
34661676428,661676428,HAPPY VALLEY DENTAL PTY LTD,,Australian Private Company,Aberfoyle Park,Onkaparinga,Adelaide - South,SA,5159,8530,Dental Services,dental,ACT,3,35,90,85,45,90,65,75,80
71177166076,,The Trustee for Westcare Dental Services Unit Trust,,Fixed Unit Trust,Birkenhead,,Adelaide - West,SA,5015,8530,Dental Services,dental,ACT,10,35,90,85,45,90,65,75,80
32616917876,616917876,SALISBURY DENTAL & HEALTH CO. PTY LTD,,Australian Private Company,Paralowie,Salisbury,Adelaide - North,SA,5108,8530,Dental Services,dental,ACT,8,35,90,85,45,90,65,75,80
91006483063,,The Trustee for DAVIS FAMILY TRUST,DAVIS DENTAL EQUIPMENT CO PTY LTD,Discretionary Trading Trust,Eastwood,Burnside,Adelaide - Central and Hills,SA,5063,8530,Dental Services,dental,CAN,26,30,85,80,40,85,60,70,75
96179779826,,CHRISTIAAN CLAASSENS,XTIAAN DENTAL,Individual/Sole Trader,Underdale,West Torrens,Adelaide - West,SA,5032,8530,Dental Services,dental,CAN,0,30,85,80,35,80,60,65,75
94623214166,623214166,VT AP PTY LTD,Good mouth,Australian Private Company,Brown Hill Creek,Mitcham,Adelaide - South,SA,5062,8530,Dental Services,dental,ACT,8,35,90,85,45,90,65,75,80
35484201016,,The Trustee for MARK MARTIN FAMILY TRUST,CLEARVIEW (SA) PTY LTD,Discretionary Trading Trust,Clearview,Port Adelaide Enfield,Adelaide - North,SA,5085,8530,Dental Services,dental,ACT,21,35,90,85,45,90,65,75,80
87788782239,,RICHARD LEIGHTON WHITE,,Individual/Sole Trader,Sturt Street,Adelaide,Adelaide - West,SA,5000,8530,Dental Services,dental,ACT,26,35,90,85,40,85,65,70,80
47600130505,600130505,DENTAL IQ PTY LTD,,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,8530,Dental Services,dental,CAN,11,30,85,80,40,85,60,70,75
