abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
23387043686,,NICHOLAS JOHN MCBRIDE,PROFESSIONAL BUILDING SERVICES SA,Individual/Sole Trader,Hawthorndene,Onkaparinga,Adelaide - West,SA,5051,3421,Electrical Services,electrical,ACT,9,75,90,80,50,85,90,90,100
15661962278,661962278,DTC SOLAR & ELECTRICAL PTY LTD,,Australian Private Company,Davoren Park,Playford,Adelaide - North,SA,5113,3421,Electrical Services,electrical,ACT,3,75,90,80,55,90,90,95,100
42590925637,,ZANE BARRY,ZB Electrical co,Individual/Sole Trader,Woods Point,Mid Murray,South Australia - South East,SA,5253,3421,Electrical Services,electrical,NON,0,75,90,80,50,85,90,90,100
79158417933,158417933,A & K ELECTRICAL & ENGINEERING SERVICES PTY LTD,,Australian Private Company,Kirton Point,Unincorporated SA,South Australia - Outback,SA,5606,3421,Electrical Services,electrical,ACT,13,75,90,80,55,90,90,95,100
83578175638,,The Trustee for the Matt Kellock Electrical & Automation Services Trust,,Discretionary Trading Trust,Apoinga,Goyder,Barossa - Yorke - Mid North,SA,5413,3421,Electrical Services,electrical,ACT,7,75,90,80,55,90,90,95,100
50940976904,,The Trustee for Kurtzer Family Trust,Kurtzer Electrical,Discretionary Trading Trust,Glandore,Marion,Adelaide - West,SA,5037,3421,Electrical Services,electrical,ACT,2,75,90,80,55,90,90,95,100
45604639550,,MYLES NEAL,ONLY SPARKS,Individual/Sole Trader,Hillbank,Salisbury,Adelaide - West,SA,5112,3421,Electrical Services,electrical,NON,2,75,90,80,50,85,90,90,100
16067079636,067079636,SHARPE GROUP PTY LTD,ERS (SA) PTY LTD,Australian Private Company,Mile End,West Torrens,Adelaide - West,SA,5031,3421,Electrical Services,electrical,ACT,26,75,90,80,55,90,90,95,100
57667696095,667696095,ELECTRICAL PRO SERVICES PTY LTD,,Australian Private Company,Avoca Dell,Mid Murray,South Australia - South East,SA,5253,3421,Electrical Services,electrical,ACT,3,75,90,80,55,90,90,95,100
14677843971,677843971,ELECTRICAL BUSINESS SERVICES PTY LTD.,,Australian Private Company,Redwood Park,Tea Tree Gully,Adelaide - North,SA,5097,3421,Electrical Services,electrical,ACT,1,75,90,80,55,90,90,95,100
