abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
65797083107,,RAYMOND HUMPHREYS,Refrigeration Mechanic,Individual/Sole Trader,Yattalunga,Gawler,South Australia - South East,SA,5114,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,23,80,90,80,60,85,90,90,100
57008025474,008025474,ROLLS AIRCONDITIONING PTY LTD,,Australian Private Company,Old Reynella,Marion,Adelaide - South,SA,5161,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,26,80,90,80,65,90,90,95,100
28085071772,085071772,SHANE'S REFRIGERATION PTY LTD,,Australian Private Company,Horsnell Gully,Adelaide Hills,Adelaide - Central and Hills,SA,5141,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,26,80,90,80,65,90,90,95,100
41643275204,,The trustee for Neller Family Trust,Bruce Walker Refrigeration,Discretionary Trading Trust,Blakiston,Mount Barker,Adelaide - Central and Hills,SA,5250,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,14,80,90,80,65,90,90,95,100
99457759684,,MICHAEL JOHN MULLER,MICHAEL MULLER,Individual/Sole Trader,Seaton North,Charles Sturt,Adelaide - West,SA,5023,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,20,80,90,80,60,85,90,90,100
90080630351,080630351,OZONE REFRIGERATION SERVICES PTY LTD,,Australian Private Company,Findon,Charles Sturt,Adelaide - West,SA,5023,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,26,80,90,80,65,90,90,95,100
86617581310,,BRENTON RENSHAW,BOMBAY AIR CONDITIONING,Individual/Sole Trader,Seaview Downs,Holdfast Bay,Adelaide - West,SA,5049,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,26,80,90,80,60,85,90,90,100
87691826918,691826918,EKOH HVAC & R PTY LTD,,Australian Private Company,Brahma Lodge,Tea Tree Gully,Adelaide - North,SA,5109,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,NON,0,80,90,80,65,90,90,95,100
14745523456,,MOHAMMED SHAMIM,KOOLINE REFRIGERATION & MECHANICAL SERVICES SA,Individual/Sole Trader,Hillbank,Salisbury,Adelaide - West,SA,5112,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,1,80,90,80,60,85,90,90,100
90923805343,,The trustee for Frippy Family Trust,Streaky Bay Air Conditioning,Discretionary Trading Trust,Carawa,Unincorporated SA,South Australia - Outback,SA,5680,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,15,80,90,80,65,90,90,95,100
