abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
15684148114,684148114,A7 GARDENING & CLEANING SERVICES PTY LTD,,Australian Private Company,Brahma Lodge,Tea Tree Gully,Adelaide - North,SA,5109,3523,Landscape Construction,landscaping,NON,1,80,70,80,95,75,90,80,65
50356724773,,JAKEB EDWARD SKEEN,STRAIGHT EDGE GARDENING NORTHERN SUBURBS AND BAROSSA,Individual/Sole Trader,Vine Vale,Light,South Australia - South East,SA,5352,3523,Landscape Construction,landscaping,NON,1,80,70,80,90,70,90,75,65
37426397874,,THOMAS JONATHAN HERNACH,Renewal Gardening,Individual/Sole Trader,Vista,Tea Tree Gully,Adelaide - West,SA,5091,3523,Landscape Construction,landscaping,NON,14,80,70,80,90,70,90,75,65
81834585665,,PAUL JUSTIN RICHARD GASTON,TRIM LEAF & LAWN GARDEN MAINTENANCE,Individual/Sole Trader,Towitta,Mid Murray,South Australia - South East,SA,5353,3523,Landscape Construction,landscaping,ACT,1,80,70,80,90,70,90,75,65
81898870489,,TOORA IRRIGATION BOARD,TOORA PRIVATE IRRIGATION DISTRICT TRUST INC,Other Incorporated Entity,Bugle Ranges,Mount Barker,Adelaide - Central and Hills,SA,5251,3523,Landscape Construction,landscaping,ACT,26,80,70,80,90,70,90,75,65
83832533421,,SUSAN LOUISE VICKERS,GREEN GRUB'S LAWN & GARDENS,Individual/Sole Trader,Mundoo Island,Alexandrina,South Australia - South East,SA,5214,3523,Landscape Construction,landscaping,ACT,0,80,70,80,90,70,90,75,65
80562518956,,RYAN ASHLEY LOMAN,Ryan Loman,Individual/Sole Trader,Woodchester,Murray Bridge,South Australia - South East,SA,5255,3523,Landscape Construction,landscaping,ACT,0,80,70,80,90,70,90,75,65
12709317743,,JEREMY PROUT,JP MAINTENANCE SERVICES AN GARDENING,Individual/Sole Trader,Waterloo,Goyder,South Australia - South East,SA,5413,3523,Landscape Construction,landscaping,CAN,11,80,70,80,90,70,90,75,65
73684636950,,WAHED SYED,OAK'S GARDENING AND CLEANING SERVICES,Individual/Sole Trader,Royston Park,Norwood Payneham and St Peters,Adelaide - West,SA,5070,3523,Landscape Construction,landscaping,CAN,7,80,70,80,90,70,90,75,65
60430469626,,Cowirra North Private Irrigation District Trust Incorporated,,Other Incorporated Entity,Bugle Ranges,Mount Barker,Adelaide - Central and Hills,SA,5251,3523,Landscape Construction,landscaping,ACT,21,80,70,80,90,70,90,75,65
