abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
89690194702,690194702,SA BUSINESS SOLUTIONS PTY LTD,REGAL TOUCH PAINTING,Australian Private Company,Mawson Lakes,Salisbury,Adelaide - North,SA,5095,3432,Painting & Decorating,painting,ACT,0,55,60,85,50,75,80,75,65
85071413333,071413333,EDGWARE PTY LTD,JOHN CARTER PAINTERS,Australian Private Company,College Park,Norwood Payneham and St Peters,Adelaide - Central and Hills,SA,5069,3432,Painting & Decorating,painting,NON,26,55,60,85,50,75,80,75,65
75417432463,,The Trustee for Wilkinson Family Trust,A Team Painting Professionals,Discretionary Trading Trust,Andrews Farm,Gawler,Barossa - Yorke - Mid North,SA,5114,3432,Painting & Decorating,painting,ACT,4,55,60,85,50,75,80,75,65
51675054832,675054832,ARTIN PAINTING SA PTY LTD,,Australian Private Company,Green Fields,Salisbury,Adelaide - North,SA,5107,3432,Painting & Decorating,painting,ACT,2,55,60,85,50,75,80,75,65
38520257914,,QUI NGOC CHAU,QC Painting & Maintenance,Individual/Sole Trader,Kidman Park,Charles Sturt,Adelaide - West,SA,5025,3432,Painting & Decorating,painting,NON,13,55,60,85,45,70,80,70,65
56778041775,,The Trustee for Cameron FamilyTrust,CAMO'S PAINTING & DECORATING,Discretionary Trading Trust,Monash,Unincorporated SA,South Australia - South East,SA,5342,3432,Painting & Decorating,painting,ACT,8,55,60,85,50,75,80,75,65
11654366453,654366453,LH MASTER PAINTING PTY LTD,,Australian Private Company,Gilles Plains,Tea Tree Gully,Adelaide - North,SA,5086,3432,Painting & Decorating,painting,ACT,4,55,60,85,50,75,80,75,65
95219669265,,The Trustee for Salihi Family Trust,Apex Painting SA,Discretionary Investment Trust,Paralowie,Salisbury,Adelaide - North,SA,5108,3432,Painting & Decorating,painting,ACT,3,55,60,85,50,75,80,75,65
14525942711,,JAYSON FRANCIS WHITE,JAYSON WHITE PAINTER,Individual/Sole Trader,Yamba,Unincorporated SA,South Australia - South East,SA,5341,3432,Painting & Decorating,painting,CAN,5,55,60,85,45,70,80,70,65
85294975428,,ALLAN DAVE SORONGON,AS Painting Services Adelaide,Individual/Sole Trader,Penfield Gardens,Playford,Adelaide - West,SA,5121,3432,Painting & Decorating,painting,NON,8,55,60,85,45,70,80,70,65
