abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
70272752930,,MA & ML MCSHANE,MCSHANE PLUMBING,Family Partnership,Hahndorf,Adelaide Hills,Adelaide - Central and Hills,SA,5245,3411,Plumbing Services,plumbing,ACT,26,80,95,85,65,95,90,95,100
31669463398,669463398,FABULOUS PLUMBING & GAS PTY LTD,,Australian Private Company,Andrews Farm,Gawler,Barossa - Yorke - Mid North,SA,5114,3411,Plumbing Services,plumbing,ACT,2,80,95,85,65,95,90,95,100
79900288946,,STAVROS BAKOPANOS,SB Pumbing and Gas Fitting,Individual/Sole Trader,Torrensville Plaza,West Torrens,Adelaide - West,SA,5031,3411,Plumbing Services,plumbing,CAN,6,80,95,85,60,90,90,90,100
77350820167,,GRAHAM PAUL SNAITH,Prospect Plumbing Maintenance,Individual/Sole Trader,Thorngate,Port Adelaide Enfield,Adelaide - West,SA,5082,3411,Plumbing Services,plumbing,ACT,26,80,95,85,60,90,90,90,100
36269326439,,The Trustee for Smith Family Trust,Smith Plumbing SA,Discretionary Trading Trust,North Adelaide,Walkerville,Adelaide - Central and Hills,SA,5006,3411,Plumbing Services,plumbing,ACT,1,80,95,85,65,95,90,95,100
74271652714,,SONNY MICHAEL BEAUMONT,BEAUMONT PLUMBING & GAS,Individual/Sole Trader,Seaford Rise,Onkaparinga,Adelaide - West,SA,5169,3411,Plumbing Services,plumbing,CAN,6,80,95,85,60,90,90,90,100
26638220774,638220774,"METALWORX FIRE, PLUMBING AND SHEETMETAL PTY. LTD.",,Australian Private Company,Mount Gambier,Mount Gambier,South Australia - South East,SA,5290,3411,Plumbing Services,plumbing,ACT,6,80,95,85,65,95,90,95,100
16602569826,602569826,PJ DALY PLUMBING & GAS FITTING PTY LTD,,Australian Private Company,Blackwood,Onkaparinga,Adelaide - South,SA,5051,3411,Plumbing Services,plumbing,NON,11,80,95,85,65,95,90,95,100
12477384168,,PAUL SCOTT FLAMANK,Thrifty Plumbing & Gas,Individual/Sole Trader,South Brighton,Marion,Adelaide - West,SA,5048,3411,Plumbing Services,plumbing,ACT,26,80,95,85,60,90,90,90,100
17244751726,,JOSHUA PHILIP ROWLANDS,Everything Gas,Individual/Sole Trader,Silver Sands,Onkaparinga,Adelaide - West,SA,5173,3411,Plumbing Services,plumbing,ACT,8,80,95,85,60,90,90,90,100
