abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
32298527898,,BRODIE BLAKE SAINT,SAINT ROOFING CO.,Individual/Sole Trader,Oakden,Tea Tree Gully,Adelaide - West,SA,5086,3411,Plumbing Services,roofing,NON,0,75,65,80,70,90,95,80,75
41613509345,613509345,ALL HEIGHTS ROOF AND GUTTERS PTY. LTD.,,Australian Private Company,Hackham,Onkaparinga,Adelaide - South,SA,5163,3411,Plumbing Services,roofing,ACT,9,75,65,80,75,95,95,85,75
90620078762,,The Trustee for Luxe Roofing & Cladding Trust,LUXE WATCH RENTALS,Discretionary Trading Trust,Camden Park,Marion,Adelaide - West,SA,5038,3411,Plumbing Services,roofing,ACT,1,75,65,80,75,95,95,85,75
56795581974,,The Trustee for CLARKE FAMILY TRUST,CLARKE ROOFING & CONSTRUCTIONS PTY LTD ATF CLARKE FAMILY TRUST,Discretionary Trading Trust,Andrews Farm,Gawler,Barossa - Yorke - Mid North,SA,5114,3411,Plumbing Services,roofing,ACT,21,75,65,80,75,95,95,85,75
23747040977,,DEAN PIETERSEN,Dp roof,Individual/Sole Trader,West Beach,West Torrens,Adelaide - West,SA,5024,3411,Plumbing Services,roofing,ACT,0,75,65,80,70,90,95,80,75
46601491392,601491392,QUEST BUILDING SOLUTIONS PTY LTD,Regional roofing company,Australian Private Company,Bungama,Mount Remarkable,Barossa - Yorke - Mid North,SA,5540,3411,Plumbing Services,roofing,ACT,11,75,65,80,75,95,95,85,75
95115856209,,ZIR RASHID,Roof shield restoration sa,Individual/Sole Trader,Valley View,Tea Tree Gully,Adelaide - West,SA,5093,3411,Plumbing Services,roofing,CAN,14,75,65,80,70,90,95,80,75
48612096358,612096358,MAJESTIC ROOF GARDEN HOTEL PTY LTD,,Australian Private Company,North Adelaide,Walkerville,Adelaide - Central and Hills,SA,5006,3411,Plumbing Services,roofing,NON,10,75,65,80,75,95,95,85,75
46268321717,,SCOTT DAVID KINLAY,SDK ROOFING & GUTTERING,Individual/Sole Trader,Wynn Vale,Tea Tree Gully,Adelaide - West,SA,5127,3411,Plumbing Services,roofing,ACT,3,75,65,80,70,90,95,80,75
83763108579,,SCOTT IAN POLLARD,SCOTTS ROOFING SERVICES,Individual/Sole Trader,Wedge Island,Unincorporated SA,South Australia - South East,SA,5606,3411,Plumbing Services,roofing,ACT,16,75,65,80,70,90,95,80,75
