abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
93383034792,,SECURITY AND ALLIED SERVICES FIREARMS CLUB INC,,Other Unincorporated Entity,Buccleuch,Mid Murray,South Australia - South East,SA,5254,3429,Other Building Installation,security_installers,NON,26,65,85,80,40,75,75,75,95
16114166199,,JULIAN WUNDKE,Adelaide Security & Investigations,Individual/Sole Trader,West Lakes Shore,Charles Sturt,Adelaide - West,SA,5020,3429,Other Building Installation,security_installers,ACT,15,65,85,80,40,75,75,75,95
57341175580,,B.M HEALD & R.S HEALD,BARDOOR SECURITY DOORS,Family Partnership,Mile End,West Torrens,Adelaide - West,SA,5031,3429,Other Building Installation,security_installers,CAN,26,65,85,80,45,80,75,80,95
25674289788,674289788,ASAP SECURITY AND PROTECTION PTY LTD,,Australian Private Company,Flinders Park,Charles Sturt,Adelaide - West,SA,5025,3429,Other Building Installation,security_installers,ACT,2,65,85,80,45,80,75,80,95
38054102180,054102180,SILVERN GUARDIAN SECURITY SERVICES PTY LTD,SILVERN GUARDIAN LOCKSMITHS,Australian Private Company,Iron Baron,Unincorporated SA,South Australia - Outback,SA,5600,3429,Other Building Installation,security_installers,ACT,26,65,85,80,45,80,75,80,95
44130188822,130188822,CENTURION WEALTH PTY LTD,AMA Security Group,Australian Private Company,Hyde Park,Unley,Adelaide - Central and Hills,SA,5061,3429,Other Building Installation,security_installers,ACT,13,65,85,80,45,80,75,80,95
79158559758,158559758,SILVER SERVICE SECURITY GROUP PTY LTD,,Australian Private Company,Hahndorf,Adelaide Hills,Adelaide - Central and Hills,SA,5245,3429,Other Building Installation,security_installers,ACT,14,65,85,80,45,80,75,80,95
53656738386,656738386,AF SECURITY ENTERPRISES PTY LTD,AF SECURITY ENTERPRISES,Australian Private Company,Findon,Charles Sturt,Adelaide - West,SA,5023,3429,Other Building Installation,security_installers,NON,4,65,85,80,45,80,75,80,95
76316243892,,INFRA RED SECURITY TRUST,,Discretionary Investment Trust,Croydon,Port Adelaide Enfield,Adelaide - West,SA,5008,3429,Other Building Installation,security_installers,ACT,26,65,85,80,45,80,75,80,95
34602982958,,A.C ROGERS & M.J ROGERS,A AND M ROGERS SECURITY,Other Partnership,Andrews Farm,Gawler,Barossa - Yorke - Mid North,SA,5114,3429,Other Building Installation,security_installers,ACT,2,65,85,80,45,80,75,80,95
