abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
57126038499,126038499,Bolnar Engineering Pty Ltd,,Australian Private Company,Gillman,Charles Sturt,Adelaide - West,SA,5013,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,18,75,50,60,80,85,95,85,75
49160909731,160909731,LOG CABINS.LV (AUSTRALIA) PTY LTD,STEEL KIT BUILDINGS,Australian Private Company,Aberfoyle Park,Onkaparinga,Adelaide - South,SA,5159,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,13,75,50,60,80,85,95,85,75
73392083353,,The Trustee for Goldney Welding Trust,,Discretionary Trading Trust,Balaklava,Clare and Gilbert Valleys,Barossa - Yorke - Mid North,SA,5461,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,9,75,50,60,80,85,95,85,75
11669323988,669323988,REMEDIAL ENGINEERING CONSULTING PTY LTD,,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,2,75,50,60,80,85,95,85,75
89663768527,663768527,BAROTEC ENGINEERING PTY LTD.,,Australian Private Company,Gilles Plains,Tea Tree Gully,Adelaide - North,SA,5086,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,3,75,50,60,80,85,95,85,75
74113928806,,RALPH & GRAZIA & ANTHONY & DOLORES CARUSO & ARMANDO ALBANESE,ACE WELDING,Other Partnership,West Lakes Shore,Charles Sturt,Adelaide - West,SA,5020,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,25,75,50,60,80,85,95,85,75
50143512976,143512976,INNOVATION ENGINEERING PTY LTD,,Australian Private Company,Glengowrie,Marion,Adelaide - South,SA,5044,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,16,75,50,60,80,85,95,85,75
45078749890,078749890,THEO SAMARAS PTY LTD,THEO SAMARAS STEEL ERECTION,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,26,75,50,60,80,85,95,85,75
61635518393,635518393,AZAMATOV PTY LTD,SA STEEL FIX,Australian Private Company,Beulah Park,Burnside,Adelaide - Central and Hills,SA,5067,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,6,75,50,60,80,85,95,85,75
80622333644,622333644,INTEGRATED MINING SOLUTIONS GROUP PTY LTD,AOJIN Australia,Australian Private Company,Glenelg,West Torrens,Adelaide - West,SA,5045,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,8,75,50,60,80,85,95,85,75
