abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
45063752594,,PARVEEN CHOUDHARY,TAXI DRIVING,Individual/Sole Trader,Royal Park,Port Adelaide Enfield,Adelaide - West,SA,5014,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,0,95,60,60,65,85,70,75,65
50546840278,,The trustee for The Mimi Family Trust,Concrete Taxi T24,Discretionary Trading Trust,Fitzroy,Port Adelaide Enfield,Adelaide - West,SA,5082,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,17,95,60,60,70,90,70,80,65
26687446758,,JOHN HENRY RICHARDSON,VALLEY TO VALE - WINE TOURS AND CHAUFFEURED ADVENTURES,Individual/Sole Trader,Hawthorndene,Onkaparinga,Adelaide - West,SA,5051,4622,Taxi and Other Road Transport,taxi_rideshare,NON,10,90,55,55,60,80,65,70,60
70292023375,,The Trustee for J & I Reid Family Trust,Caprice Cars,Discretionary Trading Trust,Gulfview Heights,Tea Tree Gully,Adelaide - North,SA,5096,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,1,95,60,60,70,90,70,80,65
79440891889,,LE'ON ISSA,Private & Rideshare Rentals,Individual/Sole Trader,Yattalunga,Gawler,South Australia - South East,SA,5114,4622,Taxi and Other Road Transport,taxi_rideshare,NON,0,90,55,55,60,80,65,70,60
36647665441,647665441,HARNEEZ FOODS PTY LTD,HOTWHEELS CHAUFFEUR ADELAIDE,Australian Private Company,Clearview,Port Adelaide Enfield,Adelaide - North,SA,5085,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,2,95,60,60,70,90,70,80,65
48172773348,,Adelaide Taxi Licence Owners Association Incorporated,,Other Incorporated Entity,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,4622,Taxi and Other Road Transport,taxi_rideshare,NON,10,90,55,55,60,80,65,70,60
38401092069,,KATHRYN MARIE CHAMBERS,KC TAXIS,Individual/Sole Trader,Wingfield,Charles Sturt,Adelaide - West,SA,5013,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,2,95,60,60,65,85,70,75,65
40138790600,138790600,D77 PTY LTD,Door to Door Chauffeurs,Australian Private Company,Beulah Park,Burnside,Adelaide - Central and Hills,SA,5067,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,6,95,60,60,70,90,70,80,65
79897509524,,PREET PAL SINGH,taxi driving,Individual/Sole Trader,St Agnes,Tea Tree Gully,Adelaide - West,SA,5097,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,19,95,60,60,65,85,70,75,65
