abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
48608270739,608270739,UNIQUE COMMERCIAL TILING PTY LTD,Unique Commercial Tiling,Australian Private Company,Auldana,Adelaide Hills,Adelaide - Central and Hills,SA,5072,3439,Tiling & Carpeting,tiling,ACT,10,50,50,75,45,70,75,65,60
31316599480,,A.G HUGHES & M.C HUGHES,Allan and Meredith Hughes,Family Partnership,Calperum,Unincorporated SA,South Australia - South East,SA,5341,3439,Tiling & Carpeting,tiling,CAN,16,50,50,75,45,70,75,65,60
62150664277,,ISHAQ ALI,SA HAZARA TILING,Individual/Sole Trader,Yattalunga,Gawler,South Australia - South East,SA,5114,3439,Tiling & Carpeting,tiling,ACT,10,50,50,75,40,65,75,60,60
95459641351,,M & MV KOLAR,ELITE CERAMIC TILING,Family Partnership,Port Noarlunga,Onkaparinga,Adelaide - South,SA,5167,3439,Tiling & Carpeting,tiling,CAN,26,50,50,75,45,70,75,65,60
32540599179,,ALI NIGA MOHAMMADI,SKY TILING SERVICES,Individual/Sole Trader,Kilburn North,Port Adelaide Enfield,Adelaide - West,SA,5084,3439,Tiling & Carpeting,tiling,ACT,20,50,50,75,40,65,75,60,60
41632030794,632030794,Z & N TILING PTY LTD,,Australian Private Company,Clearview,Port Adelaide Enfield,Adelaide - North,SA,5085,3439,Tiling & Carpeting,tiling,ACT,7,50,50,75,45,70,75,65,60
55680460342,680460342,MB TILE SERVICES PTY LTD,,Australian Private Company,Para Vista,Tea Tree Gully,Adelaide - North,SA,5093,3439,Tiling & Carpeting,tiling,ACT,1,50,50,75,45,70,75,65,60
73187121072,,HUSAIN ALI NAZARI,Tiling,Individual/Sole Trader,Northgate,Port Adelaide Enfield,Adelaide - West,SA,5085,3439,Tiling & Carpeting,tiling,ACT,14,50,50,75,40,65,75,60,60
81726604010,,MUJEEB RAHMAN,POLARIS TILING SERVICES,Individual/Sole Trader,Vista,Tea Tree Gully,Adelaide - West,SA,5091,3439,Tiling & Carpeting,tiling,NON,13,50,50,75,40,65,75,60,60
33007742261,007742261,C I S GROUP PTY LTD,STONEWARE TILES,Australian Private Company,Felixstow,Norwood Payneham and St Peters,Adelaide - North,SA,5070,3439,Tiling & Carpeting,tiling,NON,26,50,50,75,45,70,75,65,60
