abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
29685316634,685316634,AKAAL GROUP LOGISTICS PTY LTD,,Australian Private Company,Athol Park,Charles Sturt,Adelaide - West,SA,5012,4621,Road Freight Transport,transport_logistics,ACT,1,95,60,65,85,90,75,90,80
11105365419,105365419,HAMPTON HAULAGE PTY LTD,,Australian Private Company,Blakiston,Mount Barker,Adelaide - Central and Hills,SA,5250,4621,Road Freight Transport,transport_logistics,ACT,22,95,60,65,85,90,75,90,80
50165615841,165615841,RAYDAN LOGISTICS PTY LTD,,Australian Private Company,Brahma Lodge,Tea Tree Gully,Adelaide - North,SA,5109,4621,Road Freight Transport,transport_logistics,NON,12,90,55,60,80,85,70,85,75
80229365427,,ADAM JOHN O'HANLON,ADAM'S TOWING AND TRANSPORT,Individual/Sole Trader,Winninowie,Mount Remarkable,South Australia - South East,SA,5700,4621,Road Freight Transport,transport_logistics,ACT,11,95,60,65,80,85,75,85,80
92621897081,,D.K HENKE & J HENKE,Henke Hay & Haulage,Family Partnership,Bugle Ranges,Mount Barker,Adelaide - Central and Hills,SA,5251,4621,Road Freight Transport,transport_logistics,ACT,6,95,60,65,85,90,75,90,80
65685096977,685096977,BELLA INVESTMENTS PTY LTD,South Aussie Transport,Australian Private Company,Bugle Ranges,Mount Barker,Adelaide - Central and Hills,SA,5251,4621,Road Freight Transport,transport_logistics,ACT,1,95,60,65,85,90,75,90,80
40668254028,668254028,ARBON TRANSPORT GROUP PTY LTD,,Australian Private Company,Balaklava,Clare and Gilbert Valleys,Barossa - Yorke - Mid North,SA,5461,4621,Road Freight Transport,transport_logistics,ACT,3,95,60,65,85,90,75,90,80
87286605022,,The Trustee for THE SHYTI FAMILY TRUST,AL Haulage,Discretionary Trading Trust,Banksia Park,Tea Tree Gully,Adelaide - North,SA,5091,4621,Road Freight Transport,transport_logistics,ACT,11,95,60,65,85,90,75,90,80
74148011376,148011376,NEWASIAN LOGISTICS PTY LTD,,Australian Private Company,Glandore,Marion,Adelaide - West,SA,5037,4621,Road Freight Transport,transport_logistics,ACT,15,95,60,65,85,90,75,90,80
36149176018,149176018,Thomas Freight Lines Pty Ltd,,Australian Private Company,Monash,Unincorporated SA,South Australia - South East,SA,5342,4621,Road Freight Transport,transport_logistics,ACT,15,95,60,65,85,90,75,90,80
